lad19cd,lad19nm,n,vulnerable_count,vulnerable_pct
W06000001,Isle of Anglesey,312,156,50.0
W06000002,Gwynedd,340,136,40.0
W06000003,Conwy,402,195,48.5
W06000004,Denbighshire,354,152,42.9
W06000005,Flintshire,478,197,41.2
W06000006,Wrexham,404,167,41.3
W06000008,Ceredigion,346,160,46.2
W06000009,Pembrokeshire,436,206,47.2
W06000010,Carmarthenshire,622,295,47.4
W06000011,Swansea,798,343,43.0
W06000012,Neath Port Talbot,467,231,49.5
W06000013,Bridgend,439,189,43.1
W06000014,Vale of Glamorgan,467,199,42.6
W06000015,Cardiff,1057,344,32.5
W06000016,Rhondda Cynon Taf,771,297,38.5
W06000018,Caerphilly,612,247,40.4
W06000019,Blaenau Gwent,407,159,39.1
W06000020,Torfaen,436,181,41.5
W06000021,Monmouthshire,520,205,39.4
W06000022,Newport,541,198,36.6
W06000023,Powys,1394,617,44.3
W06000024,Merthyr Tydfil,319,103,32.3
