lad19cd,lad19nm,Total LSOAs (1),Most deprived 10%  LSOAs in Wales (ranks 1 - 191) (2),Most deprived 20%  LSOAs in Wales (ranks 1 - 382) (3),Most deprived 30%  LSOAs in Wales (ranks 1 - 573) (4),Most deprived 50%  LSOAs in Wales (ranks 1 - 955) (5)
W06000001,Isle of Anglesey,44,1,6,8,17
W06000002,Gwynedd,73,2,4,6,25
W06000003,Conwy,71,4,9,14,29
W06000004,Denbighshire,58,7,9,13,27
W06000005,Flintshire,92,3,10,18,29
W06000006,Wrexham,85,6,10,24,35
W06000008,Ceredigion,46,1,2,3,21
W06000009,Pembrokeshire,71,4,8,11,30
W06000010,Carmarthenshire,112,5,12,30,61
W06000011,Swansea,148,17,35,46,68
W06000012,Neath Port Talbot,91,14,30,41,63
W06000013,Bridgend,88,6,18,35,49
W06000014,Vale of Glamorgan,79,3,10,15,28
W06000015,Cardiff,214,39,59,74,105
W06000016,Rhondda Cynon Taf,154,27,44,70,110
W06000018,Caerphilly,110,11,26,42,69
W06000019,Blaenau Gwent,47,6,21,30,40
W06000020,Torfaen,60,3,19,25,34
W06000021,Monmouthshire,56,0,1,3,11
W06000022,Newport,95,23,33,38,57
W06000023,Powys,79,1,5,9,19
W06000024,Merthyr Tydfil,36,8,11,18,28
