LSOA11CD,LSOA11NM,over_65_count
W01000461,Powys 001A,396
W01000362,Wrexham 006C,254
W01000299,Flintshire 019A,638
W01000708,Carmarthenshire 025E,251
W01000789,Swansea 016E,219
W01000709,Carmarthenshire 004D,601
W01000788,Swansea 016D,214
W01000695,Carmarthenshire 012B,373
W01000614,Pembrokeshire 008D,408
W01000617,Pembrokeshire 002F,412
W01000696,Carmarthenshire 012C,415
W01000697,Carmarthenshire 015A,476
W01000615,Pembrokeshire 011E,555
W01000694,Carmarthenshire 008D,479
W01000250,Flintshire 014B,433
W01001313,Merthyr Tydfil 006F,314
W01000680,Carmarthenshire 011A,609
W01001176,Rhondda Cynon Taf 013A,277
W01001896,Cardiff 020E,299
W01001005,Bridgend 009B,422
W01001509,Torfaen 013D,416
W01001277,Rhondda Cynon Taf 028D,267
W01001585,Monmouthshire 007C,370
W01001787,Cardiff 023C,221
W01001375,Caerphilly 001B,291
W01001372,Caerphilly 022B,435
W01001377,Caerphilly 013A,417
W01001374,Caerphilly 001A,256
W01001098,The Vale of Glamorgan 010B,342
W01001376,Caerphilly 001C,303
W01001099,The Vale of Glamorgan 013D,279
W01001019,Bridgend 005D,318
W01001373,Caerphilly 022C,333
W01001370,Caerphilly 023A,433
W01001415,Caerphilly 008B,284
W01001143,Rhondda Cynon Taf 012A,289
W01001144,Rhondda Cynon Taf 012B,229
W01001245,Rhondda Cynon Taf 025C,390
W01001145,Rhondda Cynon Taf 012C,274
W01001146,Rhondda Cynon Taf 012D,299
W01001147,Rhondda Cynon Taf 004A,418
W01001244,Rhondda Cynon Taf 025B,508
W01001684,Newport 006E,174
W01000111,Gwynedd 007C,398
W01001462,Blaenau Gwent 006A,322
W01001449,Blaenau Gwent 002D,318
W01000998,Bridgend 011A,405
W01000919,Neath Port Talbot 020A,247
W01000918,Neath Port Talbot 002A,426
W01000550,Ceredigion 011G,369
W01000551,Ceredigion 010E,373
W01000727,Carmarthenshire 019E,350
W01000726,Carmarthenshire 019D,434
W01001618,Newport 003B,219
W01001699,Cardiff 049A,215
W01000724,Carmarthenshire 011C,484
W01001882,Cardiff 011C,194
W01001803,Cardiff 015A,281
W01001883,Cardiff 016C,284
W01001802,Cardiff 007A,315
W01001805,Cardiff 015C,173
W01001884,Cardiff 013D,77
W01001804,Cardiff 015B,227
W01001706,Cardiff 041B,252
W01001786,Cardiff 023B,226
W01001297,Merthyr Tydfil 002C,244
W01000644,Carmarthenshire 006B,212
W01000645,Carmarthenshire 006C,303
W01000456,Powys 013C,699
W01000457,Powys 002B,526
W01000266,Flintshire 017E,366
W01000627,Carmarthenshire 013C,557
W01000626,Carmarthenshire 013B,333
W01000230,Denbighshire 017F,541
W01001476,Blaenau Gwent 009D,200
W01000624,Carmarthenshire 005A,598
W01001477,Blaenau Gwent 009E,299
W01001770,Cardiff 018B,221
W01000361,Wrexham 019E,478
W01000150,Conwy 005B,404
W01001621,Newport 003E,273
W01001391,Caerphilly 006F,334
W01001175,Rhondda Cynon Taf 009A,335
W01000686,Carmarthenshire 001B,352
W01000753,Swansea 002D,255
W01001819,Cardiff 014D,620
W01001814,Cardiff 017E,286
W01001083,The Vale of Glamorgan 002B,511
W01000742,Swansea 016A,289
W01000991,Bridgend 001A,154
W01000910,Neath Port Talbot 009B,410
W01000992,Bridgend 001B,249
W01000913,Neath Port Talbot 010B,238
W01000554,Pembrokeshire 009A,507
W01000557,Pembrokeshire 014A,354
W01000990,Bridgend 017B,275
W01000555,Pembrokeshire 008A,445
W01000937,Neath Port Talbot 013E,345
W01000934,Neath Port Talbot 008A,222
W01000936,Neath Port Talbot 012A,191
W01000935,Neath Port Talbot 008B,332
W01000932,Neath Port Talbot 019A,264
W01001191,Rhondda Cynon Taf 031A,398
W01001111,The Vale of Glamorgan 011E,282
W01001192,Rhondda Cynon Taf 031B,246
W01001110,The Vale of Glamorgan 011D,346
W01001193,Rhondda Cynon Taf 030A,313
W01001113,The Vale of Glamorgan 003A,557
W01001194,Rhondda Cynon Taf 030B,390
W01001112,The Vale of Glamorgan 011F,251
W01001190,Rhondda Cynon Taf 029D,379
W01001118,The Vale of Glamorgan 014C,422
W01000577,Pembrokeshire 007A,452
W01000630,Carmarthenshire 024C,296
W01000572,Pembrokeshire 005D,386
W01000211,Denbighshire 012D,491
W01000290,Flintshire 004B,318
W01000155,Conwy 004A,583
W01001693,Newport 013E,155
W01001612,Newport 011B,267
W01001615,Newport 005B,237
W01001694,Cardiff 036A,110
W01001614,Newport 005A,359
W01001695,Cardiff 036B,107
W01001602,Newport 012B,435
W01000198,Denbighshire 011B,236
W01001571,Monmouthshire 001D,346
W01000958,Neath Port Talbot 016B,299
W01000458,Powys 002C,438
W01000459,Powys 014D,352
W01000731,Carmarthenshire 017C,546
W01001523,Torfaen 004C,227
W01000960,Neath Port Talbot 017F,304
W01000968,Neath Port Talbot 019D,408
W01000718,Carmarthenshire 010D,279
W01000137,Conwy 015C,402
W01001453,Blaenau Gwent 008D,281
W01001452,Blaenau Gwent 007C,235
W01001450,Blaenau Gwent 007A,294
W01001553,Monmouthshire 004B,587
W01001552,Monmouthshire 004A,487
W01001740,Cardiff 039D,197
W01001743,Cardiff 043B,312
W01001506,Torfaen 010A,356
W01000320,Flintshire 002B,379
W01000194,Denbighshire 011A,363
W01000679,Carmarthenshire 002D,261
W01000678,Carmarthenshire 002C,468
W01000790,Swansea 016F,300
W01000671,Carmarthenshire 018B,543
W01000711,Carmarthenshire 021E,492
W01000670,Carmarthenshire 018A,369
W01001657,Newport 020C,284
W01001490,Torfaen 001D,275
W01000769,Swansea 020B,374
W01000768,Swansea 020A,336
W01000583,Pembrokeshire 004B,315
W01001849,Cardiff 004A,368
W01001848,Cardiff 012B,327
W01000464,Powys 011D,353
W01001678,Newport 005D,289
W01001679,Newport 007D,242
W01000575,Pembrokeshire 008C,648
W01000574,Pembrokeshire 015A,505
W01000633,Carmarthenshire 021B,402
W01000407,Wrexham 016C,313
W01000486,Powys 011G,289
W01000487,Powys 012E,682
W01000406,Wrexham 013C,370
W01000314,Flintshire 016B,333
W01000395,Wrexham 016B,283
W01000317,Flintshire 016E,289
W01000396,Wrexham 020H,325
W01000397,Wrexham 020I,304
W01000316,Flintshire 016D,383
W01000028,Isle of Anglesey 001D,416
W01000029,Isle of Anglesey 003C,277
W01000315,Flintshire 016C,513
W01000394,Wrexham 016A,249
W01001271,Rhondda Cynon Taf 010C,268
W01001581,Monmouthshire 005E,606
W01001680,Newport 007E,152
W01000071,Gwynedd 003B,346
W01001354,Caerphilly 014D,335
W01001355,Caerphilly 015A,424
W01001356,Caerphilly 006A,263
W01001357,Caerphilly 006B,334
W01001068,The Vale of Glamorgan 009B,199
W01001069,The Vale of Glamorgan 012C,209
W01001060,The Vale of Glamorgan 015B,456
W01001061,The Vale of Glamorgan 015C,412
W01001352,Caerphilly 007A,327
W01001353,Caerphilly 007B,481
W01000739,Swansea 014B,224
W01001249,Rhondda Cynon Taf 024A,335
W01001248,Rhondda Cynon Taf 016D,412
W01000737,Swansea 028B,521
W01000546,Ceredigion 009F,413
W01001412,Caerphilly 017B,390
W01000345,Wrexham 018A,497
W01000239,Denbighshire 004D,248
W01001246,Rhondda Cynon Taf 025D,466
W01000080,Gwynedd 014C,602
W01001397,Caerphilly 019E,271
W01001361,Caerphilly 002B,209
W01001151,Rhondda Cynon Taf 003C,500
W01000349,Wrexham 011A,272
W01001650,Newport 004E,200
W01001653,Newport 002C,427
W01001823,Cardiff 029B,179
W01001822,Cardiff 029A,367
W01001824,Cardiff 029C,214
W01001825,Cardiff 029D,194
W01001820,Cardiff 006A,237
W01000234,Denbighshire 017G,229
W01000460,Powys 006B,425
W01001775,Cardiff 021B,260
W01000667,Carmarthenshire 023C,342
W01000666,Carmarthenshire 017B,316
W01000367,Wrexham 014B,191
W01001905,Powys 018H,598
W01000664,Carmarthenshire 016C,456
W01000156,Conwy 004B,649
W01000484,Powys 011E,478
W01001622,Newport 003F,243
W01000405,Wrexham 015B,398
W01000485,Powys 011F,570
W01000404,Wrexham 018D,434
W01000483,Powys 009C,263
W01000402,Wrexham 011D,305
W01000873,Swansea 026C,152
W01000875,Swansea 026D,176
W01000872,Swansea 024E,307
W01000877,Swansea 007E,364
W01000874,Swansea 024F,212
W01000876,Swansea 026E,131
W01001394,Caerphilly 023B,254
W01000606,Pembrokeshire 015B,254
W01001816,Cardiff 009B,307
W01001086,The Vale of Glamorgan 006A,495
W01001667,Newport 010C,168
W01001666,Newport 010B,233
W01001664,Newport 010A,299
W01000692,Carmarthenshire 019C,280
W01000613,Pembrokeshire 001E,655
W01000693,Carmarthenshire 008C,350
W01000612,Pembrokeshire 003C,555
W01000610,Pembrokeshire 016A,621
W01001508,Torfaen 013C,409
W01001253,Rhondda Cynon Taf 023C,277
W01001604,Newport 012D,359
W01000191,Denbighshire 009A,433
W01000973,Neath Port Talbot 020F,290
W01001911,The Vale of Glamorgan 012H,188
W01001910,The Vale of Glamorgan 012G,143
W01001727,Cardiff 014A,296
W01001726,Cardiff 028E,114
W01001937,Ceredigion 001F,533
W01001934,Ceredigion 002F,382
W01001936,Ceredigion 003F,239
W01001724,Cardiff 032C,39
W01001935,Ceredigion 003E,173
W01001416,Caerphilly 008C,375
W01001932,Gwynedd 014E,729
W01001958,Swansea 025H,203
