LSOA11CD,LSOA11NM,percent_welsh_speakers
W01000461,Powys 001A,34.1
W01000362,Wrexham 006C,15.8
W01000299,Flintshire 019A,15.4
W01000708,Carmarthenshire 025E,22.8
W01000789,Swansea 016E,4.7
W01000709,Carmarthenshire 004D,48.2
W01000788,Swansea 016D,6.1
W01000695,Carmarthenshire 012B,56.4
W01000614,Pembrokeshire 008D,8.7
W01000617,Pembrokeshire 002F,36.4
W01000696,Carmarthenshire 012C,61.1
W01000697,Carmarthenshire 015A,67.8
W01000615,Pembrokeshire 011E,10.1
W01000694,Carmarthenshire 008D,45.9
W01000250,Flintshire 014B,15.3
W01001313,Merthyr Tydfil 006F,9.5
W01000680,Carmarthenshire 011A,57.1
W01001176,Rhondda Cynon Taf 013A,11.5
W01001896,Cardiff 020E,17.6
W01001005,Bridgend 009B,11.8
W01001509,Torfaen 013D,10.2
W01001277,Rhondda Cynon Taf 028D,11.5
W01001585,Monmouthshire 007C,7.2
W01001787,Cardiff 023C,9.0
W01001375,Caerphilly 001B,13.7
W01001372,Caerphilly 022B,14.5
W01001377,Caerphilly 013A,12.8
W01001374,Caerphilly 001A,8.5
W01001098,The Vale of Glamorgan 010B,9.0
W01001376,Caerphilly 001C,9.6
W01001099,The Vale of Glamorgan 013D,11.2
W01001019,Bridgend 005D,13.2
W01001373,Caerphilly 022C,14.8
W01001370,Caerphilly 023A,12.7
W01001415,Caerphilly 008B,12.1
W01001143,Rhondda Cynon Taf 012A,9.9
W01001144,Rhondda Cynon Taf 012B,7.2
W01001245,Rhondda Cynon Taf 025C,16.2
W01001145,Rhondda Cynon Taf 012C,8.0
W01001146,Rhondda Cynon Taf 012D,11.2
W01001147,Rhondda Cynon Taf 004A,12.7
W01001244,Rhondda Cynon Taf 025B,13.2
W01001684,Newport 006E,9.6
W01000111,Gwynedd 007C,80.6
W01001462,Blaenau Gwent 006A,8.1
W01001449,Blaenau Gwent 002D,6.8
W01000998,Bridgend 011A,7.5
W01000919,Neath Port Talbot 020A,58.8
W01000918,Neath Port Talbot 002A,25.1
W01000550,Ceredigion 011G,66.9
W01000551,Ceredigion 010E,50.9
W01000727,Carmarthenshire 019E,28.7
