"","","WIMD ","Income ","Employment ","Health ","Education ","Access to Services ","Community Safety ","Physical Environment ","Housing "
"Isle of Anglesey ","",".",".",".",".",".",".",".",".","."
"Isle of Anglesey ","Amlwch Port ",3,3,3,4,4,5,4,10,5
"","Amlwch Rural ",6,6,6,7,5,2,7,10,7
"","Llanbadrig ",6,4,5,7,6,8,7,10,6
"","Llannerch-y-medd ",4,5,5,6,5,1,9,7,2
"","Mechell ",5,5,5,7,7,1,9,9,2
"","Holyhead Town ",1,1,1,2,2,7,1,7,3
"","Kingsland ",3,2,3,4,2,5,2,10,6
"","London Road ",2,2,2,3,3,6,2,10,5
"","Maeshyfryd ",2,2,2,2,2,5,3,10,6
"","Morawelon ",2,2,1,2,2,3,1,10,9
"","Porthyfelin 1 ",2,2,2,4,2,6,2,9,5
"","Porthyfelin 2 ",6,4,4,5,4,7,5,10,9
"","Llanfaethlu ",5,6,7,6,5,1,8,9,2
"","Parc a'r Mynydd ",7,6,6,7,5,4,4,10,10
"","Trearddur 1 ",8,8,9,7,9,1,8,6,7
"","Trearddur 2 ",7,8,8,8,9,2,6,7,5
"","Valley 1 ",5,4,5,5,4,7,5,4,10
"","Valley 2 ",9,9,8,8,9,5,10,8,9
"","Aberffraw & Rhosneigr 1 ",5,5,4,7,6,2,5,10,5
"","Aberffraw & Rhosneigr 2 ",7,6,7,7,9,4,9,10,2
"","Bryngwran ",5,5,5,6,5,2,8,9,2
"","Llanfair-yn-Neubwll 1 ",6,5,7,4,5,2,8,10,6
"","Llanfair-yn-Neubwll 2 ",6,6,7,7,6,2,5,10,4
"","Brynteg ",9,8,7,9,7,7,9,9,8
"","Llanddyfnan ",8,9,8,9,9,1,9,10,4
"","Llaneilian ",6,6,6,7,7,2,9,9,4
"","Moelfre ",6,5,5,8,5,2,10,9,6
"","Beaumaris ",6,5,7,8,2,7,5,8,5
"","Cwm Cadnant ",10,10,9,10,10,4,10,10,9
"","Llanbedrgoch ",7,7,6,7,4,6,7,6,7
"","Llangoed ",5,6,5,6,5,1,10,10,6
"","Pentraeth ",6,6,7,7,7,1,8,9,2
"","Bodffordd ",6,7,6,7,7,2,8,10,3
"","Cefni ",8,7,7,6,8,9,3,10,10
"","Cyngar ",7,5,5,6,8,7,3,10,9
"","Tudur ",2,1,2,3,2,2,2,10,7
"","Braint ",10,9,9,9,10,10,10,9,8
"","Cadnant (Isle of Anglesey) ",8,8,7,10,9,10,1,9,2
"","Gwyngyll ",9,8,8,6,9,10,9,8,10
"","Tysilio ",8,7,7,7,7,6,5,10,8
"","Bodorgan ",6,7,7,8,7,2,7,9,1
"","Llanfihangel Ysgeifiog ",7,7,7,7,7,3,6,8,6
"","Llanidan ",5,6,7,6,6,2,8,9,2
"","Rhosyr ",4,5,5,5,4,2,8,9,3
"Gwynedd ","",".",".",".",".",".",".",".",".","."
"Gwynedd ","Deiniol ",5,8,9,5,5,2,1,7,1
"","Hirael & Garth 1 ",6,7,8,9,4,7,1,10,2
"","Hirael & Garth 2 ",5,6,8,6,5,6,3,1,1
"","Marchog 2 ",1,1,1,1,2,4,1,10,8
"","Menai (Bangor) ",9,10,10,10,10,5,6,10,1
"","Dewi ",6,5,5,6,7,5,3,7,4
"","Glyder ",8,7,7,9,9,6,7,10,3
"","Hendre (Gwynedd) ",4,5,6,4,4,3,2,9,2
"","Marchog 1 ",2,1,4,2,2,2,3,10,6
"","Pentir 1 ",9,9,9,7,10,5,3,10,7
"","Arllechwedd ",5,5,5,8,8,2,4,5,2
"","Gerlan ",6,5,6,6,7,3,7,10,2
"","Ogwen 1 ",5,4,5,5,6,4,3,7,6
"","Ogwen 2 ",5,4,4,5,7,7,3,8,4
"","Tregarth & Mynydd Llandygai ",7,7,7,9,9,2,5,7,2
"","Deiniolen ",4,4,5,5,7,1,4,8,1
"","Llanberis ",7,6,8,7,9,3,4,7,3
"","Penisarwaun ",8,7,8,7,10,2,8,10,5
"","Pentir 2 ",6,6,6,7,8,2,6,10,5
"","Bethel & Cwm-y-Glo 1 ",9,9,10,7,8,4,10,10,5
"","Bethel & Cwm-y-Glo 2 ",7,9,10,9,9,2,8,8,1
"","Llanrug ",9,7,9,6,9,9,8,10,7
"","Y Felinheli ",9,8,8,8,9,5,8,9,4
"","Cadnant (Gwynedd) ",2,2,2,3,3,3,1,9,4
"","Menai (Caernarfon) ",8,8,6,7,9,7,2,10,6
"","Peblig (Caernarfon) ",1,1,1,2,1,2,2,10,4
"","Seiont 1 ",7,6,6,6,6,3,7,10,9
"","Bontnewydd ",8,8,8,8,8,2,4,8,6
"","Llanwnda ",6,6,7,8,8,1,8,6,3
"","Seiont 2 ",4,4,4,5,4,3,1,10,3
"","Waunfawr ",6,6,7,8,7,2,6,2,2
"","Groeslon ",8,8,8,8,8,2,9,8,4
"","Llanllyfni & Clynnog ",4,5,7,7,7,1,5,7,1
"","Penygroes (Gwynedd) ",6,4,5,5,8,9,5,10,5
"","Talysarn ",3,4,5,6,5,1,5,7,1
"","Bowydd and Rhiw ",3,4,4,4,4,3,2,8,1
"","Diffwys and Maenofferen ",4,4,4,5,3,7,3,5,2
"","Teigl ",5,5,6,5,5,2,5,9,5
"","Trawsfynydd ",6,7,8,8,6,1,8,10,2
"","Dyffryn Ardudwy ",8,7,7,8,6,2,9,7,8
"","Harlech ",7,6,7,7,7,2,9,8,6
"","Llanbedr ",6,7,8,8,6,1,10,8,1
"","Penrhyndeudraeth 2 ",8,7,7,6,6,5,7,10,3
"","Bala ",7,5,6,6,5,7,5,5,7
"","Corris/Mawddwy ",5,7,8,8,8,1,9,5,1
"","Llandderfel & Llanuwchllyn 1 ",6,7,8,8,7,1,9,7,1
"","Llandderfel & Llanuwchllyn 2 ",7,9,10,10,10,1,8,9,1
"","Abermaw 1 ",5,5,6,6,4,2,6,7,7
"","Abermaw 2 ",6,6,5,9,4,7,3,10,2
"","Brithdir and Llanfachreth/Ganllwyd/Llanelltyd ",5,8,8,9,7,1,9,7,1
"","Dolgellau North ",7,8,6,8,7,3,3,5,5
"","Dolgellau South ",7,6,5,6,5,7,6,9,6
"","Llangelynin ",4,5,4,6,6,1,7,5,3
"","Tywyn 1 ",8,7,8,7,8,3,8,9,8
"","Tywyn 2 ",4,4,4,3,4,6,8,4,6
"","Aberdovey / Bryn-crug / Llanfihangel ",7,8,9,10,7,1,9,6,4
"","Dolbenmaen ",5,7,7,7,9,1,10,6,1
"","Penrhyndeudraeth 1 ",8,7,9,9,8,1,9,9,4
"","Porthmadog East ",6,7,7,6,4,9,6,4,2
"","Porthmadog West ",9,9,9,9,9,6,3,9,8
"","Porthmadog - Tremadog ",6,6,7,8,7,1,7,5,4
"","Abererch ",7,8,7,8,8,2,9,8,3
"","Criccieth ",9,6,8,8,8,9,9,10,7
"","Llanaelhaearn ",5,4,6,7,6,1,7,10,2
"","Llanystumdwy ",6,8,9,8,8,1,8,7,1
"","Efail-newydd/Buan ",7,7,8,9,8,1,9,7,2
"","Morfa Nefyn ",9,7,8,10,9,6,8,9,5
"","Nefyn ",8,6,7,8,7,7,7,10,6
"","Pwllheli North ",6,5,6,6,6,8,3,7,4
"","Pwllheli South ",6,4,5,6,6,7,6,5,5
"","Llanbedrog & Abersoch ",8,6,8,10,7,2,7,10,4
"","Llanengan ",8,9,9,10,8,1,10,9,2
"","Aberdaron / Botwnnog & Tudweiliog ",5,8,9,10,9,1,10,9,1
"Conwy ","",".",".",".",".",".",".",".",".","."
"Conwy ","Craig-y-Don 1 ",4,4,2,6,6,9,4,5,5
"","Gogarth 1 ",4,4,3,6,7,5,1,7,1
"","Gogarth 2 ",6,5,6,7,7,3,5,6,6
"","Mostyn (Conwy) 2 ",3,4,3,4,6,4,2,4,2
"","Tudno 1 ",2,3,3,2,2,4,1,4,5
"","Craig-y-Don 2 ",9,8,9,9,7,8,7,8,9
"","Mostyn (Conwy) 1 ",4,3,3,5,3,5,4,6,3
"","Tudno 2 ",1,1,1,1,2,3,1,7,6
"","Tudno 3 ",8,7,7,8,7,5,6,8,9
"","Llandrillo yn Rhos 1 ",10,9,9,8,9,7,8,10,9
"","Penrhyn 1 ",9,9,10,9,9,2,7,10,6
"","Penrhyn 2 ",10,10,9,10,8,10,10,10,8
"","Penrhyn 3 ",10,10,10,10,8,8,10,10,9
"","Llandrillo yn Rhos 2 ",9,7,6,8,9,10,6,9,8
"","Llandrillo yn Rhos 3 ",8,6,6,8,10,7,6,7,9
"","Llandrillo yn Rhos 4 ",4,3,3,5,5,5,4,6,6
"","Llandrillo yn Rhos 5 ",8,7,6,8,8,7,6,9,9
"","Deganwy 1 ",10,9,8,10,10,9,10,9,10
"","Deganwy 2 ",9,7,8,10,5,8,8,10,8
"","Marl 1 ",10,10,9,10,9,8,7,10,9
"","Marl 2 ",6,6,7,5,4,4,5,7,6
"","Eirias 2 ",9,7,8,7,8,10,2,10,8
"","Glyn (Conwy) 1 ",3,3,3,4,4,6,3,9,1
"","Glyn (Conwy) 2 ",1,1,1,1,2,5,1,10,1
"","Rhiw 3 ",2,2,1,3,4,8,1,10,4
"","Eirias 1 ",4,3,2,4,6,3,4,10,7
"","Glyn (Conwy) 3 ",5,4,4,5,5,5,3,8,7
"","Rhiw 1 ",10,10,8,9,10,7,7,10,10
"","Rhiw 2 ",10,9,9,9,9,10,9,10,10
"","Rhiw 4 ",7,6,6,7,8,10,4,10,3
"","Mochdre ",4,3,4,4,2,7,4,8,3
"","Pensarn 1 ",4,4,5,4,3,9,3,7,3
"","Pensarn 2 ",7,5,7,7,6,3,6,10,5
"","Llansanffraid ",8,9,9,8,6,2,8,9,8
"","Kinmel Bay 1 ",2,2,2,2,1,7,2,3,5
"","Kinmel Bay 2 ",5,4,5,5,4,3,5,2,10
"","Kinmel Bay 3 ",3,3,4,3,3,4,3,3,8
"","Kinmel Bay 4 ",4,4,3,3,3,8,5,3,9
"","Towyn ",3,3,3,2,3,5,2,2,8
"","Colwyn 1 ",8,6,7,7,8,10,4,10,5
"","Colwyn 2 ",1,1,1,2,3,6,3,9,6
"","Colwyn 3 ",7,5,5,6,9,9,3,10,5
"","Llanddulas ",7,7,6,6,6,4,5,10,7
"","Llysfaen 1 ",2,1,2,4,2,2,3,10,1
"","Llysfaen 2 ",7,6,8,8,4,7,8,10,3
"","Gele 1 ",4,3,4,7,4,3,3,10,3
"","Gele 2 ",9,7,7,8,8,6,8,10,10
"","Gele 3 ",10,10,9,8,9,5,9,10,10
"","Pentre Mawr 1 ",2,2,2,2,3,6,2,6,4
"","Pentre Mawr 2 ",9,8,7,7,7,7,7,8,8
"","Abergele Pensarn 1 ",5,4,5,5,5,4,6,4,10
"","Abergele Pensarn 2 ",1,1,1,1,3,4,1,3,6
"","Caerhun ",7,8,8,9,7,1,9,9,2
"","Conwy 1 ",4,3,4,5,6,5,4,3,9
"","Conwy 2 ",9,8,8,10,9,10,4,8,7
"","Conwy 3 ",9,8,9,9,5,6,8,10,9
"","Bryn ",5,5,4,5,7,5,4,3,4
"","Capelulo ",7,6,7,8,7,3,8,7,5
"","Pandy ",8,7,7,8,7,5,6,10,5
"","Pant-yr-afon/Penmaenan 1 ",6,4,3,7,7,7,6,3,7
"","Pant-yr-afon/Penmaenan 2 ",3,3,3,3,4,4,2,9,3
"","Betws yn Rhos ",6,8,8,9,7,1,8,5,2
"","Llangernyw ",6,8,9,8,7,1,10,9,1
"","Llansannan ",6,8,8,9,7,1,9,10,2
"","Uwchaled ",7,8,9,9,9,1,9,9,2
"","Betws-y-Coed ",7,8,9,9,7,1,5,5,2
"","Crwst ",6,5,5,7,6,3,7,6,5
"","Eglwysbach ",7,9,9,10,9,1,9,7,2
"","Gower (Conwy) ",7,5,7,6,5,6,7,8,6
"","Trefriw ",7,6,7,8,6,1,9,8,5
"","Uwch Conwy ",5,8,8,10,8,1,9,8,1
"Denbighshire ","",".",".",".",".",".",".",".",".","."
"Denbighshire ","Prestatyn North 1 ",4,3,3,3,3,6,3,4,6
"","Prestatyn North 2 ",5,4,5,4,5,6,6,4,5
"","Prestatyn North 3 ",5,5,3,4,4,6,6,4,8
"","Prestatyn Central 2 ",3,2,2,3,2,6,3,9,3
"","Prestatyn East 1 ",3,3,4,1,3,5,1,4,2
"","Prestatyn East 2 ",10,9,8,9,9,8,9,10,8
"","Prestatyn East 3 ",3,3,3,3,5,7,2,6,5
"","Prestatyn Central 1 ",9,7,7,7,7,9,8,10,9
"","Prestatyn South West 1 ",4,3,4,4,3,6,7,5,7
"","Prestatyn South West 2 ",6,5,5,5,5,5,8,7,8
"","Dyserth 1 ",8,7,7,7,6,10,8,10,3
"","Dyserth 2 ",5,3,4,4,5,7,6,7,6
"","Prestatyn Meliden ",5,3,5,5,3,9,7,10,4
"","Tremeirchion ",7,9,10,9,9,1,8,10,1
"","St. Asaph East ",9,7,7,8,8,9,6,9,7
"","St. Asaph West ",6,5,5,4,3,10,7,6,7
"","Trefnant ",6,7,6,6,7,2,8,6,5
"","Rhyl East 1 ",2,2,3,1,2,6,5,4,6
"","Rhyl East 2 ",6,4,5,5,6,8,7,6,5
"","Rhyl East 3 ",1,2,1,1,3,6,2,10,4
"","Rhyl West 1 ",1,1,1,1,1,2,1,5,1
"","Rhyl West 2 ",1,1,1,1,1,2,1,5,1
"","Rhyl West 3 ",1,1,1,1,1,5,1,5,2
"","Rhyl South West 1 ",1,1,1,1,2,4,1,2,2
"","Rhyl South West 2 ",1,1,1,1,1,2,1,1,2
"","Rhyl South West 3 ",4,3,4,4,4,8,3,7,2
"","Bodelwyddan ",6,6,6,5,5,5,2,9,5
"","Rhuddlan 1 ",8,8,7,6,8,6,2,5,10
"","Rhuddlan 2 ",7,5,7,6,5,9,8,10,6
"","Rhuddlan 3 ",7,5,5,5,6,9,6,7,7
"","Rhyl South 1 ",4,3,2,4,4,4,8,8,8
"","Rhyl South 2 ",7,6,6,6,6,8,8,8,7
"","Rhyl South East 1 ",5,4,4,3,4,7,5,10,5
"","Rhyl South East 2 ",7,4,6,3,7,9,7,10,9
"","Rhyl South East 3 ",5,4,5,3,5,9,5,10,5
"","Rhyl South East 4 ",2,1,2,1,2,3,4,9,7
"","Rhyl South East 5 ",8,7,6,6,7,10,8,4,10
"","Denbigh Central ",4,4,2,3,6,10,2,10,2
"","Denbigh Upper/Henllan 1 ",1,1,1,1,1,4,3,8,5
"","Denbigh Upper/Henllan 2 ",3,4,4,6,3,2,2,8,2
"","Denbigh Lower 1 ",10,10,10,9,9,10,10,8,10
"","Denbigh Lower 2 ",10,9,9,7,8,10,8,10,6
"","Denbigh Lower 3 ",9,8,8,7,8,5,9,8,8
"","Llanrhaeadr-yng-Nghinmeirch ",6,9,10,9,9,1,10,9,1
"","Llanarmon-yn-Ial/Llandegla ",8,9,9,10,10,1,9,9,4
"","Llanbedr Dyffryn Clwyd/Llangynhafal ",9,10,10,10,10,2,10,9,4
"","Llandyrnog ",7,9,7,8,9,2,10,9,1
"","Ruthin 1 ",6,5,5,5,6,6,6,6,5
"","Ruthin 2 ",8,6,7,7,8,9,5,8,5
"","Ruthin 3 ",10,10,10,9,10,9,10,10,10
"","Corwen 2 ",4,5,6,5,3,2,6,2,3
"","Efenechtyd ",7,9,10,10,9,1,9,9,1
"","Llanfair Dyffryn Clwyd/Gwyddelwern ",7,9,9,9,8,1,10,7,1
"","Corwen 1 ",5,7,6,8,8,1,6,6,1
"","Llandrillo ",7,8,9,8,5,1,8,5,4
"","Llangollen 1 ",4,7,5,6,7,1,2,6,1
"","Llangollen 2 ",6,5,7,7,5,2,6,9,5
"","Llangollen 3 ",7,7,8,8,7,2,5,9,6
"Flintshire ","",".",".",".",".",".",".",".",".","."
"Flintshire ","Ffynnongroyw ",3,3,3,3,3,2,2,6,2
"","Gronant ",3,3,3,3,3,2,7,8,4
"","Trelawnyd and Gwaenysgor ",6,6,6,7,5,1,7,10,6
"","Holywell West ",4,3,4,5,3,8,1,9,9
"","Mostyn (Flintshire) ",3,3,4,3,2,2,4,10,6
"","Whitford ",9,9,9,9,8,3,9,10,6
"","Brynford ",8,7,8,7,6,2,7,10,6
"","Caerwys 1 ",9,10,10,10,9,1,10,9,4
"","Caerwys 2 ",8,7,8,8,8,3,8,9,2
"","Cilcain ",9,10,9,9,9,2,9,6,5
"","Halkyn ",7,9,8,8,7,1,8,10,1
"","Buckley Mountain 1 ",9,8,9,8,7,10,5,10,10
"","Buckley Mountain 2 ",8,9,9,7,7,4,6,4,8
"","Northop 1 ",9,9,10,10,9,2,9,8,9
"","Northop 2 ",10,10,10,10,10,7,10,10,9
"","Bagillt East ",5,5,7,5,3,4,6,7,5
"","Bagillt West ",3,3,5,4,3,5,3,3,4
"","Greenfield 1 ",2,2,2,1,1,5,3,9,4
"","Greenfield 2 ",7,5,6,4,5,9,7,9,8
"","Holywell Central ",1,1,1,2,1,8,1,10,4
"","Holywell East ",6,5,5,5,4,8,5,10,5
"","Flint Castle ",2,2,3,2,1,5,1,6,3
"","Flint Coleshill 2 ",2,2,2,1,2,4,1,8,5
"","Flint Oakenholt 1 ",3,3,5,2,2,6,3,7,3
"","Flint Oakenholt 2 ",4,5,5,4,3,2,4,4,2
"","Flint Coleshill 1 ",9,8,9,8,7,6,5,9,9
"","Flint Coleshill 3 ",7,6,6,6,6,4,7,9,9
"","Flint Trelawny 1 ",9,9,9,8,8,6,8,9,8
"","Flint Trelawny 2 ",8,8,8,6,7,9,7,8,4
"","Aston 2 ",8,9,8,7,5,5,8,6,8
"","Connah's Quay South 2 ",9,8,8,7,8,5,9,10,9
"","Connah's Quay South 4 ",10,10,10,10,8,9,9,9,10
"","Northop Hall ",10,9,10,8,9,6,10,9,10
"","Connah's Quay Central 1 ",4,4,5,5,2,9,3,5,3
"","Connah's Quay Central 2 ",2,2,2,1,2,5,1,4,3
"","Connah's Quay Golftyn 1 ",8,8,8,8,5,9,4,6,5
"","Connah's Quay Golftyn 4 ",2,2,2,1,2,5,3,6,4
"","Connah's Quay Golftyn 2 ",9,7,10,7,5,9,8,8,8
"","Connah's Quay Golftyn 3 ",9,8,9,8,6,10,6,10,10
"","Connah's Quay South 1 ",8,8,7,6,6,8,7,10,6
"","Connah's Quay South 3 ",8,7,7,7,5,10,8,9,7
"","Connah's Quay Wepre ",7,7,8,6,4,9,3,6,4
"","Sealand 1 ",4,5,6,4,3,2,2,1,2
"","Sealand 2 ",1,2,2,1,1,5,1,2,3
"","Shotton East ",5,5,6,5,3,10,5,4,2
"","Shotton Higher 1 ",2,2,3,2,1,5,3,8,6
"","Shotton Higher 2 ",1,1,2,2,1,4,1,4,2
"","Shotton West ",6,7,6,6,4,10,3,5,2
"","Mancot 1 ",7,6,7,6,6,6,6,7,6
"","Mancot 2 ",5,5,6,5,3,8,7,2,3
"","Queensferry ",3,4,6,3,1,5,2,2,1
"","Aston 1 ",7,5,6,6,6,10,6,7,7
"","Buckley Pentrobin 3 ",10,10,10,9,10,9,7,8,10
"","Ewloe 1 ",10,10,10,10,9,8,10,5,9
"","Ewloe 2 ",10,10,10,10,10,10,5,6,10
"","Ewloe 3 ",10,10,10,10,9,9,7,4,10
"","Hawarden ",10,9,9,10,9,9,9,10,9
"","Broughton North East ",8,7,9,8,6,8,4,3,6
"","Broughton South 1 ",8,6,8,7,5,9,8,7,9
"","Broughton South 2 ",10,10,10,9,9,9,10,4,9
"","Saltney Mold Junction ",3,4,6,4,2,3,4,3,2
"","Saltney Stonebridge 1 ",5,4,6,5,2,8,6,3,6
"","Saltney Stonebridge 2 ",7,8,9,6,4,7,6,2,4
"","Buckley Bistre East 1 ",5,4,6,4,5,6,3,8,7
"","Buckley Bistre East 2 ",9,8,8,7,7,9,8,9,8
"","Buckley Bistre West 2 ",4,4,4,3,1,8,4,10,6
"","Buckley Bistre West 3 ",3,2,3,3,3,4,4,9,8
"","Buckley Pentrobin 1 ",9,9,9,8,6,8,6,7,5
"","Buckley Pentrobin 2 ",9,8,8,8,8,8,8,10,8
"","Higher Kinnerton ",10,10,10,10,10,5,10,9,10
"","Penyffordd 1 ",10,9,10,8,9,9,9,4,9
"","Penyffordd 2 ",10,9,10,9,9,9,8,10,4
"","Argoed (Flintshire) 1 ",10,10,10,9,10,10,8,8,10
"","Argoed (Flintshire) 2 ",10,9,9,8,6,9,9,10,8
"","Buckley Bistre West 1 ",9,8,8,7,6,9,9,10,8
"","New Brighton 1 ",10,10,10,9,9,10,10,10,10
"","New Brighton 2 ",8,7,5,7,6,10,9,9,10
"","Mold Broncoed 1 ",7,6,7,8,4,7,6,5,5
"","Mold Broncoed 2 ",4,4,3,6,3,9,1,6,4
"","Mold East ",7,6,5,6,6,8,2,5,8
"","Mold South 1 ",10,10,10,10,9,9,10,9,9
"","Mold South 2 ",10,10,10,10,10,10,10,10,10
"","Mold West 1 ",2,2,3,2,1,5,3,9,8
"","Mold West 2 ",6,6,4,7,4,7,3,10,8
"","Gwernaffield ",9,9,10,9,9,2,9,9,8
"","Gwernymynydd ",9,9,10,9,9,3,10,9,6
"","Leeswood ",7,6,7,5,6,4,8,6,4
"","Treuddyn ",6,7,8,7,6,2,7,9,2
"","Caergwrle ",7,6,6,5,5,9,8,10,4
"","Hope 1 ",10,10,10,9,9,7,5,9,7
"","Hope 2 ",7,6,8,7,5,4,6,10,3
"","Llanfynydd ",8,9,9,8,8,2,8,7,3
"Wrexham ","",".",".",".",".",".",".",".",".","."
"Wrexham ","Gwersyllt East and South 1 ",4,4,4,3,2,5,3,10,5
"","Gwersyllt East and South 2 ",9,8,8,8,8,7,3,8,8
"","Gwersyllt East and South 3 ",9,8,9,6,6,6,5,10,7
"","Llay 2 ",8,8,7,5,5,8,5,9,7
"","Llay 3 ",3,3,3,1,2,5,4,10,5
"","Gwersyllt North 1 ",8,7,8,6,5,7,6,10,5
"","Gwersyllt North 2 ",2,2,3,2,1,6,1,9,5
"","Gwersyllt West 1 ",2,2,2,2,2,4,2,9,5
"","Gwersyllt West 2 ",7,7,5,2,8,9,9,7,10
"","Bryn Cefn ",6,5,6,6,3,7,3,10,6
"","Gwenfro ",3,2,3,3,2,7,3,10,4
"","New Broughton 1 ",6,4,6,4,5,6,4,9,7
"","New Broughton 2 ",4,3,5,5,3,8,1,10,5
"","Gresford East and West 1 ",9,8,8,8,8,10,5,9,9
"","Gresford East and West 2 ",10,9,10,9,9,9,4,9,7
"","Holt 1 ",8,9,9,9,8,2,1,7,8
"","Holt 2 ",10,8,8,10,7,10,8,9,9
"","Llay 1 ",8,8,8,5,7,3,5,9,9
"","Marford and Hoseley 1 ",10,10,10,10,10,10,9,9,10
"","Marford and Hoseley 2 ",10,10,10,10,10,9,10,8,10
"","Rossett 1 ",10,10,10,9,10,4,10,7,8
"","Rossett 2 ",8,8,8,9,8,1,9,6,7
"","Borras Park 1 ",10,10,9,10,9,10,10,8,10
"","Borras Park 2 ",10,10,9,8,10,8,8,7,9
"","Rhosnesni 1 ",9,7,7,8,8,10,2,9,10
"","Rhosnesni 2 ",10,10,10,10,9,10,10,7,10
"","Garden Village ",10,10,9,10,9,10,9,8,9
"","Grosvenor 1 ",6,5,5,5,7,10,3,10,1
"","Grosvenor 2 ",3,3,4,2,5,5,1,9,2
"","Little Acton 1 ",10,10,9,9,9,10,7,8,9
"","Little Acton 2 ",9,7,7,8,8,10,7,8,6
"","Stansty ",7,7,6,6,6,7,5,8,7
"","Acton 1 ",6,5,5,6,4,6,2,10,6
"","Acton 2 ",3,2,3,3,4,5,4,8,5
"","Maesydre ",6,5,6,5,4,9,1,9,6
"","Cartrefle 1 ",3,3,3,2,3,6,2,6,8
"","Cartrefle 2 ",1,1,2,1,1,5,1,8,4
"","Queensway 1 ",1,1,1,1,1,2,1,5,4
"","Queensway 2 ",1,1,2,1,1,3,1,9,5
"","Wynnstay ",1,1,1,1,1,3,1,9,5
"","Brynyffynnon 1 ",6,6,6,5,5,5,2,9,9
"","Brynyffynnon 2 ",3,5,5,4,2,4,1,6,1
"","Erddig ",8,7,8,8,6,5,5,10,3
"","Offa ",4,5,6,5,5,6,1,9,1
"","Hermitage 1 ",3,4,4,3,3,4,3,10,2
"","Hermitage 2 ",2,2,2,2,2,6,1,10,8
"","Whitegate 1 ",4,4,5,4,2,3,1,10,6
"","Whitegate 2 ",5,6,6,5,3,8,2,10,3
"","Smithfield 2 ",3,4,4,5,2,4,1,3,1
"","Smithfield 3 ",1,2,2,2,1,5,1,5,1
"","Brymbo 1 ",8,8,9,7,6,6,5,10,5
"","Brymbo 2 ",3,3,4,3,3,6,3,10,3
"","Coedpoeth 1 ",3,2,4,4,1,7,1,10,4
"","Coedpoeth 2 ",8,6,6,5,7,10,7,10,7
"","Coedpoeth 3 ",7,7,6,6,6,10,2,10,2
"","Minera 1 ",6,7,7,6,5,2,7,9,4
"","Minera 2 ",9,10,10,9,10,2,7,10,3
"","Penycae ",2,2,3,3,1,4,3,10,3
"","Penycae and Ruabon South 2 ",5,4,5,5,3,3,5,10,8
"","Esclusham 1 ",6,5,6,4,4,8,6,9,3
"","Esclusham 2 ",9,9,9,7,9,8,4,8,9
"","Johnstown 1 ",10,9,9,7,8,9,7,10,9
"","Ponciau 1 ",6,5,5,6,5,9,3,9,3
"","Johnstown 2 ",4,4,4,2,3,8,3,9,7
"","Pant ",3,2,4,3,2,7,2,9,2
"","Ponciau 2 ",3,3,3,3,2,5,2,10,8
"","Ponciau 3 ",5,6,5,5,6,3,3,8,4
"","Marchwiel 1 ",8,10,10,9,7,1,4,8,6
"","Marchwiel 2 ",8,6,7,4,7,5,8,10,8
"","Penycae and Ruabon South 1 ",9,10,10,9,8,2,3,8,8
"","Ruabon 1 ",4,4,5,4,6,3,4,6,8
"","Ruabon 2 ",6,6,5,5,6,10,2,7,4
"","Cefn 1 ",7,7,6,6,4,5,5,9,6
"","Cefn 2 ",3,3,3,3,3,6,3,10,3
