lad19cd,lad19nm,population_count
W06000001,Isle of Anglesey,69961
W06000002,Gwynedd,124178
W06000003,Conwy,117181
W06000004,Denbighshire,95330
W06000005,Flintshire,155593
W06000006,Wrexham,136126
W06000008,Ceredigion,72992
W06000009,Pembrokeshire,125055
W06000010,Carmarthenshire,187568
W06000011,Swansea,246466
W06000012,Neath Port Talbot,142906
W06000013,Bridgend,144876
W06000014,Vale of Glamorgan,132165
W06000015,Cardiff,364248
W06000016,Rhondda Cynon Taf,240131
W06000018,Caerphilly,181019
W06000019,Blaenau Gwent,69713
W06000020,Torfaen,93049
W06000021,Monmouthshire,94142
W06000022,Newport,153302
W06000023,Powys,132447
W06000024,Merthyr Tydfil,60183
