lad19cd,lad19nm,use_several_daily_percent,use_daily_percent
W06000001,Isle of Anglesey,54.319,33.991
W06000002,Gwynedd,72.62200000000001,20.434
W06000003,Conwy,74.631,19.753999999999998
W06000004,Denbighshire,68.767,22.114
W06000005,Flintshire,77.60600000000001,18.376
W06000006,Wrexham,74.60600000000001,18.124000000000002
W06000008,Ceredigion,64.784,25.834000000000003
W06000009,Pembrokeshire,73.258,19.447
W06000010,Carmarthenshire,73.86800000000001,18.709999999999997
W06000011,Swansea,73.59400000000001,19.835
W06000012,Neath Port Talbot,74.897,17.105999999999998
W06000013,Bridgend,67.605,25.934
W06000014,Vale of Glamorgan,77.41600000000001,16.508
W06000015,Cardiff,82.83900000000001,12.784999999999998
W06000016,Rhondda Cynon Taf,75.94300000000001,17.785
W06000018,Caerphilly,75.402,18.975
W06000019,Blaenau Gwent,64.461,26.003
W06000020,Torfaen,66.95800000000001,27.845
W06000021,Monmouthshire,77.483,18.684
W06000022,Newport,82.65500000000002,13.170000000000002
W06000023,Powys,68.35000000000001,23.918
W06000024,Merthyr Tydfil,58.650000000000006,34.605000000000004
