lad19cd,lad19nm,vulnerable_count,vulnerable_pct
W06000001,Isle of Anglesey,156,50.0
W06000002,Gwynedd,136,40.0
W06000003,Conwy,195,48.5
W06000004,Denbighshire,152,42.9
W06000005,Flintshire,197,41.2
W06000006,Wrexham,167,41.3
W06000008,Ceredigion,160,46.2
W06000009,Pembrokeshire,206,47.2
W06000010,Carmarthenshire,295,47.4
W06000011,Swansea,343,43.0
W06000012,Neath Port Talbot,231,49.5
W06000013,Bridgend,189,43.1
W06000014,Vale of Glamorgan,199,42.6
W06000015,Cardiff,344,32.5
W06000016,Rhondda Cynon Taf,297,38.5
W06000018,Caerphilly,247,40.4
W06000019,Blaenau Gwent,159,39.1
W06000020,Torfaen,181,41.5
W06000021,Monmouthshire,205,39.4
W06000022,Newport,198,36.6
W06000023,Powys,617,44.3
W06000024,Merthyr Tydfil,103,32.3
