LSOA11CD,LSOA11NM,pop_density_persqkm
W01000461,Powys 001A,35.73719636548165
W01000362,Wrexham 006C,1894.0182806895752
W01000299,Flintshire 019A,261.2599450118875
W01000708,Carmarthenshire 025E,494.1127723490211
W01000789,Swansea 016E,5269.230769230769
W01000709,Carmarthenshire 004D,27.290623320828765
W01000788,Swansea 016D,1801.5534953645704
W01000695,Carmarthenshire 012B,178.41588321869463
W01000614,Pembrokeshire 008D,31.258662231604088
W01000617,Pembrokeshire 002F,21.716915438969842
W01000696,Carmarthenshire 012C,44.31449586550322
W01000697,Carmarthenshire 015A,557.9246624022744
W01000615,Pembrokeshire 011E,441.12799304743925
W01000694,Carmarthenshire 008D,67.10759231697328
W01000250,Flintshire 014B,503.52727978771605
W01001313,Merthyr Tydfil 006F,1051.6052649905982
W01000680,Carmarthenshire 011A,160.51435539297194
W01001176,Rhondda Cynon Taf 013A,1408.7647857281363
W01001896,Cardiff 020E,4985.6
W01001005,Bridgend 009B,1157.9921962833146
W01001509,Torfaen 013D,416.16914698430264
W01001277,Rhondda Cynon Taf 028D,2878.185644143091
W01001585,Monmouthshire 007C,2879.6154686475857
W01001787,Cardiff 023C,4803.098773402195
W01001375,Caerphilly 001B,1223.9669421487604
W01001372,Caerphilly 022B,2994.6953865937953
W01001377,Caerphilly 013A,198.68470975085367
W01001374,Caerphilly 001A,774.2971887550201
W01001098,The Vale of Glamorgan 010B,1039.4435975609758
W01001376,Caerphilly 001C,692.4077312883985
W01001099,The Vale of Glamorgan 013D,4856.933235509904
W01001019,Bridgend 005D,274.48719617651983
W01001373,Caerphilly 022C,3293.739967897271
W01001370,Caerphilly 023A,3093.792172739541
W01001415,Caerphilly 008B,1986.1693685523187
W01001143,Rhondda Cynon Taf 012A,359.7598333537557
W01001144,Rhondda Cynon Taf 012B,527.0426515930113
W01001245,Rhondda Cynon Taf 025C,632.7587073428155
W01001145,Rhondda Cynon Taf 012C,1702.9354569867583
W01001146,Rhondda Cynon Taf 012D,1662.1407558271103
W01001147,Rhondda Cynon Taf 004A,334.8113114592571
W01001244,Rhondda Cynon Taf 025B,365.4402645721372
W01001684,Newport 006E,6866.248189280541
W01000111,Gwynedd 007C,526.9773434308519
W01001462,Blaenau Gwent 006A,484.4471312376346
W01001449,Blaenau Gwent 002D,3755.1924674605375
W01000998,Bridgend 011A,919.4077489139107
W01000919,Neath Port Talbot 020A,125.88419943669238
W01000918,Neath Port Talbot 002A,88.77212389380531
W01000550,Ceredigion 011G,14.179381388137012
W01000551,Ceredigion 010E,41.36149269576904
W01000727,Carmarthenshire 019E,2730.50696709161
W01000726,Carmarthenshire 019D,162.57088846880907
W01001618,Newport 003B,2746.3956511463007
W01001699,Cardiff 049A,9643.382352941177
W01000724,Carmarthenshire 011C,408.7491163049765
W01001882,Cardiff 011C,902.2826365734804
W01001803,Cardiff 015A,5933.609958506224
W01001883,Cardiff 016C,7156.5362198168195
W01001802,Cardiff 007A,4605.370219690806
W01001805,Cardiff 015C,2572.968953337051
W01001884,Cardiff 013D,7988.7640449438195
W01001804,Cardiff 015B,4983.398732266827
W01001706,Cardiff 041B,2284.0986977381767
W01001786,Cardiff 023B,3666.5172568355
W01001297,Merthyr Tydfil 002C,1000.9380345417427
W01000644,Carmarthenshire 006B,233.99259819332244
W01000645,Carmarthenshire 006C,4131.521087347592
W01000456,Powys 013C,253.9748851153761
W01000457,Powys 002B,47.59193432403801
W01000266,Flintshire 017E,4928.03684513529
W01000627,Carmarthenshire 013C,217.7147569195468
W01000626,Carmarthenshire 013B,1585.512638144217
W01000230,Denbighshire 017F,4443.924139545774
W01001476,Blaenau Gwent 009D,472.2155974242785
W01000624,Carmarthenshire 005A,36.564148971424196
W01001477,Blaenau Gwent 009E,646.6373931130113
W01001770,Cardiff 018B,1135.857461024499
W01000361,Wrexham 019E,146.9514219320571
W01000150,Conwy 005B,617.9822356292945
W01001621,Newport 003E,4375.605033881897
W01001391,Caerphilly 006F,3589.293549802545
W01001175,Rhondda Cynon Taf 009A,2363.0136986301372
W01000686,Carmarthenshire 001B,25.193903774039022
W01000753,Swansea 002D,2436.770428015564
W01001819,Cardiff 014D,261.99081978845595
W01001814,Cardiff 017E,5186.440677966101
W01001083,The Vale of Glamorgan 002B,126.4646630761008
W01000742,Swansea 016A,5326.692059771462
W01000991,Bridgend 001A,668.5591796535542
W01000910,Neath Port Talbot 009B,1058.4662110858012
W01000992,Bridgend 001B,2501.2598689736265
W01000913,Neath Port Talbot 010B,4325.047801147228
W01000554,Pembrokeshire 009A,92.69075523999415
W01000557,Pembrokeshire 014A,65.53624834035934
W01000990,Bridgend 017B,3371.085942704863
W01000555,Pembrokeshire 008A,33.33053739421417
W01000937,Neath Port Talbot 013E,1546.2969512626441
W01000934,Neath Port Talbot 008A,5513.513513513513
W01000936,Neath Port Talbot 012A,1184.0525178128253
W01000935,Neath Port Talbot 008B,7094.535993061579
W01000932,Neath Port Talbot 019A,167.64535856634313
W01001191,Rhondda Cynon Taf 031A,456.5786142290488
W01001111,The Vale of Glamorgan 011E,7062.068965517242
W01001192,Rhondda Cynon Taf 031B,4994.640943193998
W01001110,The Vale of Glamorgan 011D,73.63641230550594
W01001193,Rhondda Cynon Taf 030A,3419.900787861103
W01001113,The Vale of Glamorgan 003A,52.65663184314154
W01001194,Rhondda Cynon Taf 030B,718.1980230108572
W01001112,The Vale of Glamorgan 011F,3431.5382757787975
W01001190,Rhondda Cynon Taf 029D,279.7010190804532
W01001118,The Vale of Glamorgan 014C,616.4053075995175
W01000577,Pembrokeshire 007A,35.39280317133534
W01000630,Carmarthenshire 024C,4662.559507140856
W01000572,Pembrokeshire 005D,1260.7157436385903
W01000211,Denbighshire 012D,17.449514507998764
W01000290,Flintshire 004B,1699.326851159312
W01000155,Conwy 004A,3150.5352851212583
W01001693,Newport 013E,7264.1509433962265
W01001612,Newport 011B,5575.717584955461
W01001615,Newport 005B,4887.449892075239
W01001694,Cardiff 036A,11633.466135458168
W01001614,Newport 005A,4352.704257767549
W01001695,Cardiff 036B,12890.040299366723
W01001602,Newport 012B,4031.1462854225174
W01000198,Denbighshire 011B,6944.309927360775
W01001571,Monmouthshire 001D,71.21779125933497
W01000958,Neath Port Talbot 016B,5403.462920614179
W01000458,Powys 002C,91.49474978013711
W01000459,Powys 014D,10.244625384808975
W01000731,Carmarthenshire 017C,226.89904636632684
W01001523,Torfaen 004C,413.6421565911232
W01000960,Neath Port Talbot 017F,4995.766299745978
W01000968,Neath Port Talbot 019D,4565.701559020044
W01000718,Carmarthenshire 010D,926.819184123484
W01000137,Conwy 015C,28.461562883432716
W01001453,Blaenau Gwent 008D,1444.3618799925691
W01001452,Blaenau Gwent 007C,580.2707930367504
W01001450,Blaenau Gwent 007A,584.844258484426
W01001553,Monmouthshire 004B,547.2495974804932
W01001552,Monmouthshire 004A,329.49756534270807
W01001740,Cardiff 039D,7558.662006989515
W01001743,Cardiff 043B,3367.8756476683934
W01001506,Torfaen 010A,1336.0800470865215
W01000320,Flintshire 002B,163.43363372537038
W01000194,Denbighshire 011A,1912.9213483146066
W01000679,Carmarthenshire 002D,231.86589378035407
W01000678,Carmarthenshire 002C,12.327398386887326
W01000790,Swansea 016F,5732.342007434944
W01000671,Carmarthenshire 018B,192.88386028248692
W01000711,Carmarthenshire 021E,192.26383476614015
W01000670,Carmarthenshire 018A,1747.5301866081231
W01001657,Newport 020C,163.97532432187245
W01001490,Torfaen 001D,7035.766780989711
W01000769,Swansea 020B,1396.2494904198938
W01000768,Swansea 020A,1305.2170601675552
W01000583,Pembrokeshire 004B,46.78234058209885
W01001849,Cardiff 004A,1556.806550665302
W01001848,Cardiff 012B,5183.630640083946
W01000464,Powys 011D,9.069826180799524
W01001678,Newport 005D,4645.622394282311
W01001679,Newport 007D,3536.511768255884
W01000575,Pembrokeshire 008C,105.95523581135092
W01000574,Pembrokeshire 015A,18.81382142834783
W01000633,Carmarthenshire 021B,978.7323352455576
W01000407,Wrexham 016C,92.5219047885864
W01000486,Powys 011G,257.3173095561155
W01000487,Powys 012E,15.556007087596486
W01000406,Wrexham 013C,1465.859532643364
