LSOA11CD,LSOA11NM,population_count
W01000461,Powys 001A,1493
W01000362,Wrexham 006C,1637
W01000299,Flintshire 019A,1967
W01000708,Carmarthenshire 025E,1431
W01000789,Swansea 016E,1507
W01000709,Carmarthenshire 004D,2189
W01000788,Swansea 016D,1438
W01000695,Carmarthenshire 012B,1782
W01000614,Pembrokeshire 008D,1466
W01000617,Pembrokeshire 002F,1545
W01000696,Carmarthenshire 012C,1649
W01000697,Carmarthenshire 015A,2041
W01000615,Pembrokeshire 011E,1472
W01000694,Carmarthenshire 008D,1524
W01000250,Flintshire 014B,1556
W01001313,Merthyr Tydfil 006F,1510
W01000680,Carmarthenshire 011A,2172
W01001176,Rhondda Cynon Taf 013A,1453
W01001896,Cardiff 020E,1558
W01001005,Bridgend 009B,1751
W01001509,Torfaen 013D,1429
W01001277,Rhondda Cynon Taf 028D,1231
W01001585,Monmouthshire 007C,1318
W01001787,Cardiff 023C,1488
W01001375,Caerphilly 001B,1481
W01001372,Caerphilly 022B,1863
W01001377,Caerphilly 013A,1571
W01001374,Caerphilly 001A,1446
W01001098,The Vale of Glamorgan 010B,1091
W01001376,Caerphilly 001C,1544
W01001099,The Vale of Glamorgan 013D,1324
W01001019,Bridgend 005D,1476
W01001373,Caerphilly 022C,2052
W01001370,Caerphilly 023A,1834
W01001415,Caerphilly 008B,1752
W01001143,Rhondda Cynon Taf 012A,1468
W01001144,Rhondda Cynon Taf 012B,1641
W01001245,Rhondda Cynon Taf 025C,1259
W01001145,Rhondda Cynon Taf 012C,1839
W01001146,Rhondda Cynon Taf 012D,1469
W01001147,Rhondda Cynon Taf 004A,1699
W01001244,Rhondda Cynon Taf 025B,1326
W01001684,Newport 006E,1422
W01000111,Gwynedd 007C,1677
W01001462,Blaenau Gwent 006A,1763
W01001449,Blaenau Gwent 002D,1356
W01000998,Bridgend 011A,5185
W01000919,Neath Port Talbot 020A,1171
W01000918,Neath Port Talbot 002A,1926
W01000550,Ceredigion 011G,1219
W01000551,Ceredigion 010E,1348
W01000727,Carmarthenshire 019E,921
W01000726,Carmarthenshire 019D,1591
W01001618,Newport 003B,1162
W01001699,Cardiff 049A,2623
W01000724,Carmarthenshire 011C,1908
W01001882,Cardiff 011C,1759
W01001803,Cardiff 015A,1716
W01001883,Cardiff 016C,1719
W01001802,Cardiff 007A,1698
W01001805,Cardiff 015C,1384
W01001884,Cardiff 013D,1422
W01001804,Cardiff 015B,1651
W01001706,Cardiff 041B,1333
W01001786,Cardiff 023B,1636
W01001297,Merthyr Tydfil 002C,1814
W01000644,Carmarthenshire 006B,1764
W01000645,Carmarthenshire 006C,2067
W01000456,Powys 013C,2067
W01000457,Powys 002B,2098
W01000266,Flintshire 017E,1712
W01000627,Carmarthenshire 013C,2429
W01000626,Carmarthenshire 013B,1449
W01000230,Denbighshire 017F,1898
W01001476,Blaenau Gwent 009D,990
W01000624,Carmarthenshire 005A,2295
W01001477,Blaenau Gwent 009E,1399
W01001770,Cardiff 018B,1122
W01000361,Wrexham 019E,1992
W01000150,Conwy 005B,1475
W01001621,Newport 003E,1356
W01001391,Caerphilly 006F,1636
W01001175,Rhondda Cynon Taf 009A,1380
W01000686,Carmarthenshire 001B,1298
W01000753,Swansea 002D,1503
W01001819,Cardiff 014D,2363
W01001814,Cardiff 017E,1377
W01001083,The Vale of Glamorgan 002B,1538
W01000742,Swansea 016A,1818
W01000991,Bridgend 001A,1154
W01000910,Neath Port Talbot 009B,1394
W01000992,Bridgend 001B,1489
W01000913,Neath Port Talbot 010B,1131
W01000554,Pembrokeshire 009A,1906
W01000557,Pembrokeshire 014A,1466
W01000990,Bridgend 017B,1518
W01000555,Pembrokeshire 008A,1510
W01000937,Neath Port Talbot 013E,2186
W01000934,Neath Port Talbot 008A,1224
W01000936,Neath Port Talbot 012A,1479
W01000935,Neath Port Talbot 008B,1636
W01000932,Neath Port Talbot 019A,1102
W01001191,Rhondda Cynon Taf 031A,3246
W01001111,The Vale of Glamorgan 011E,1536
W01001192,Rhondda Cynon Taf 031B,1398
W01001110,The Vale of Glamorgan 011D,1513
W01001193,Rhondda Cynon Taf 030A,1172
W01001113,The Vale of Glamorgan 003A,2312
W01001194,Rhondda Cynon Taf 030B,2216
W01001112,The Vale of Glamorgan 011F,1421
W01001190,Rhondda Cynon Taf 029D,2945
W01001118,The Vale of Glamorgan 014C,2555
W01000577,Pembrokeshire 007A,1616
W01000630,Carmarthenshire 024C,1665
W01000572,Pembrokeshire 005D,1853
W01000211,Denbighshire 012D,1906
W01000290,Flintshire 004B,1136
W01000155,Conwy 004A,1442
W01001693,Newport 013E,2233
W01001612,Newport 011B,1690
W01001615,Newport 005B,1585
W01001694,Cardiff 036A,2044
W01001614,Newport 005A,1513
W01001695,Cardiff 036B,4478
W01001602,Newport 012B,1579
W01000198,Denbighshire 011B,1434
W01001571,Monmouthshire 001D,1296
W01000958,Neath Port Talbot 016B,1654
W01000458,Powys 002C,1727
W01000459,Powys 014D,1209
W01000731,Carmarthenshire 017C,2553
W01001523,Torfaen 004C,1493
W01000960,Neath Port Talbot 017F,1770
W01000968,Neath Port Talbot 019D,2050
W01000718,Carmarthenshire 010D,1345
W01000137,Conwy 015C,1524
W01001453,Blaenau Gwent 008D,1555
W01001452,Blaenau Gwent 007C,1470
W01001450,Blaenau Gwent 007A,1258
W01001553,Monmouthshire 004B,3093
W01001552,Monmouthshire 004A,1509
W01001740,Cardiff 039D,1514
W01001743,Cardiff 043B,1430
W01001506,Torfaen 010A,1589
