area_code,area_name,welsh_speakers_percent,population_count,pop_density_persqkm,wimd_2019,over_65_count
W01000461,Powys 001A,34.1,1493.0,35.73719636548165,888.0,396.0
W01000362,Wrexham 006C,15.8,1637.0,1894.0182806895752,433.0,254.0
W01000299,Flintshire 019A,15.4,1967.0,261.2599450118875,1619.0,638.0
W01000708,Carmarthenshire 025E,22.8,1431.0,494.1127723490211,172.0,251.0
W01000789,Swansea 016E,4.7,1507.0,5269.230769230769,276.0,219.0
W01000709,Carmarthenshire 004D,48.2,2189.0,27.290623320828765,976.0,601.0
W01000788,Swansea 016D,6.1,1438.0,1801.5534953645704,230.0,214.0
W01000695,Carmarthenshire 012B,56.4,1782.0,178.41588321869463,503.0,373.0
W01000614,Pembrokeshire 008D,8.7,1466.0,31.258662231604088,941.0,408.0
W01000617,Pembrokeshire 002F,36.4,1545.0,21.716915438969842,738.0,412.0
W01000696,Carmarthenshire 012C,61.1,1649.0,44.31449586550322,906.0,415.0
W01000697,Carmarthenshire 015A,67.8,2041.0,557.9246624022744,890.0,476.0
W01000615,Pembrokeshire 011E,10.1,1472.0,441.12799304743925,1452.0,555.0
W01000694,Carmarthenshire 008D,45.9,1524.0,67.10759231697328,1437.0,479.0
W01000250,Flintshire 014B,15.3,1556.0,503.52727978771605,1738.0,433.0
W01001313,Merthyr Tydfil 006F,9.5,1510.0,1051.6052649905982,596.0,314.0
W01000680,Carmarthenshire 011A,57.1,2172.0,160.51435539297194,1303.0,609.0
W01001176,Rhondda Cynon Taf 013A,11.5,1453.0,1408.7647857281363,652.0,277.0
W01001896,Cardiff 020E,17.6,1558.0,4985.6,1793.0,299.0
W01001005,Bridgend 009B,11.8,1751.0,1157.9921962833146,1504.0,422.0
W01001509,Torfaen 013D,10.2,1429.0,416.16914698430264,1821.0,416.0
W01001277,Rhondda Cynon Taf 028D,11.5,1231.0,2878.185644143091,1625.0,267.0
W01001585,Monmouthshire 007C,7.2,1318.0,2879.6154686475857,1903.0,370.0
W01001787,Cardiff 023C,9.0,1488.0,4803.098773402195,436.0,221.0
W01001375,Caerphilly 001B,13.7,1481.0,1223.9669421487604,228.0,291.0
W01001372,Caerphilly 022B,14.5,1863.0,2994.6953865937953,1169.0,435.0
W01001377,Caerphilly 013A,12.8,1571.0,198.68470975085367,1134.0,417.0
W01001374,Caerphilly 001A,8.5,1446.0,774.2971887550201,391.0,256.0
W01001098,The Vale of Glamorgan 010B,9.0,1091.0,1039.4435975609758,1799.0,342.0
W01001376,Caerphilly 001C,9.6,1544.0,692.4077312883985,67.0,303.0
W01001099,The Vale of Glamorgan 013D,11.2,1324.0,4856.933235509904,699.0,279.0
W01001019,Bridgend 005D,13.2,1476.0,274.48719617651983,287.0,318.0
W01001373,Caerphilly 022C,14.8,2052.0,3293.739967897271,926.0,333.0
W01001370,Caerphilly 023A,12.7,1834.0,3093.792172739541,1075.0,433.0
W01001415,Caerphilly 008B,12.1,1752.0,1986.1693685523187,729.0,284.0
W01001143,Rhondda Cynon Taf 012A,9.9,1468.0,359.7598333537557,992.0,289.0
W01001144,Rhondda Cynon Taf 012B,7.2,1641.0,527.0426515930113,33.0,229.0
W01001245,Rhondda Cynon Taf 025C,16.2,1259.0,632.7587073428155,1651.0,390.0
W01001145,Rhondda Cynon Taf 012C,8.0,1839.0,1702.9354569867583,506.0,274.0
W01001146,Rhondda Cynon Taf 012D,11.2,1469.0,1662.1407558271103,1069.0,299.0
W01001147,Rhondda Cynon Taf 004A,12.7,1699.0,334.8113114592571,923.0,418.0
W01001244,Rhondda Cynon Taf 025B,13.2,1326.0,365.4402645721372,1518.0,508.0
W01001684,Newport 006E,9.6,1422.0,6866.248189280541,840.0,174.0
W01000111,Gwynedd 007C,80.6,1677.0,526.9773434308519,650.0,398.0
W01001462,Blaenau Gwent 006A,8.1,1763.0,484.4471312376346,825.0,322.0
W01001449,Blaenau Gwent 002D,6.8,1356.0,3755.1924674605375,537.0,318.0
W01000998,Bridgend 011A,7.5,5185.0,919.4077489139107,1412.0,405.0
W01000919,Neath Port Talbot 020A,58.8,1171.0,125.88419943669238,807.0,247.0
W01000918,Neath Port Talbot 002A,25.1,1926.0,88.77212389380531,1206.0,426.0
W01000550,Ceredigion 011G,66.9,1219.0,14.179381388137012,765.0,369.0
W01000551,Ceredigion 010E,50.9,1348.0,41.36149269576904,1011.0,373.0
W01000727,Carmarthenshire 019E,28.7,921.0,2730.50696709161,1418.0,350.0
W01000726,Carmarthenshire 019D,36.1,1591.0,162.57088846880907,1690.0,434.0
W01001618,Newport 003B,7.3,1162.0,2746.3956511463007,204.0,219.0
W01001699,Cardiff 049A,6.0,2623.0,9643.382352941177,150.0,215.0
W01000724,Carmarthenshire 011C,54.1,1908.0,408.7491163049765,818.0,484.0
W01001882,Cardiff 011C,10.5,1759.0,902.2826365734804,1232.0,194.0
