LSOA11CD,LSOA11NM,welsh_speakers_percent,wimd_2019,population_count,pop_density_persqkm,over_65_count
W01000461,Powys 001A,34.1,888,1493,35.73719636548165,396
W01000362,Wrexham 006C,15.8,433,1637,1894.0182806895752,254
W01000299,Flintshire 019A,15.4,1619,1967,261.2599450118875,638
W01000708,Carmarthenshire 025E,22.8,172,1431,494.11277234902116,251
W01000789,Swansea 016E,4.7,276,1507,5269.230769230769,219
W01000709,Carmarthenshire 004D,48.2,976,2189,27.290623320828768,601
W01000788,Swansea 016D,6.1,230,1438,1801.5534953645706,214
W01000695,Carmarthenshire 012B,56.4,503,1782,178.4158832186946,373
W01000614,Pembrokeshire 008D,8.7,941,1466,31.258662231604088,408
W01000617,Pembrokeshire 002F,36.4,738,1545,21.716915438969842,412
W01000696,Carmarthenshire 012C,61.1,906,1649,44.31449586550322,415
W01000697,Carmarthenshire 015A,67.8,890,2041,557.9246624022744,476
W01000615,Pembrokeshire 011E,10.1,1452,1472,441.12799304743925,555
W01000694,Carmarthenshire 008D,45.9,1437,1524,67.10759231697328,479
W01000250,Flintshire 014B,15.3,1738,1556,503.52727978771605,433
W01001313,Merthyr Tydfil 006F,9.5,596,1510,1051.6052649905982,314
W01000680,Carmarthenshire 011A,57.1,1303,2172,160.51435539297194,609
W01001176,Rhondda Cynon Taf 013A,11.5,652,1453,1408.7647857281365,277
W01001896,Cardiff 020E,17.6,1793,1558,4985.6,299
W01001005,Bridgend 009B,11.8,1504,1751,1157.9921962833146,422
W01001509,Torfaen 013D,10.2,1821,1429,416.1691469843026,416
W01001277,Rhondda Cynon Taf 028D,11.5,1625,1231,2878.185644143091,267
W01001585,Monmouthshire 007C,7.2,1903,1318,2879.6154686475857,370
W01001787,Cardiff 023C,9.0,436,1488,4803.098773402195,221
W01001375,Caerphilly 001B,13.7,228,1481,1223.9669421487606,291
W01001372,Caerphilly 022B,14.5,1169,1863,2994.695386593796,435
W01001377,Caerphilly 013A,12.8,1134,1571,198.6847097508537,417
W01001374,Caerphilly 001A,8.5,391,1446,774.2971887550201,256
W01001098,The Vale of Glamorgan 010B,9.0,1799,1091,1039.4435975609758,342
W01001376,Caerphilly 001C,9.6,67,1544,692.4077312883984,303
W01001099,The Vale of Glamorgan 013D,11.2,699,1324,4856.933235509904,279
W01001019,Bridgend 005D,13.2,287,1476,274.48719617651983,318
W01001373,Caerphilly 022C,14.8,926,2052,3293.739967897271,333
W01001370,Caerphilly 023A,12.7,1075,1834,3093.792172739541,433
W01001415,Caerphilly 008B,12.1,729,1752,1986.1693685523187,284
W01001143,Rhondda Cynon Taf 012A,9.9,992,1468,359.7598333537557,289
W01001144,Rhondda Cynon Taf 012B,7.2,33,1641,527.0426515930113,229
W01001245,Rhondda Cynon Taf 025C,16.2,1651,1259,632.7587073428155,390
W01001145,Rhondda Cynon Taf 012C,8.0,506,1839,1702.9354569867585,274
W01001146,Rhondda Cynon Taf 012D,11.2,1069,1469,1662.1407558271105,299
W01001147,Rhondda Cynon Taf 004A,12.7,923,1699,334.8113114592571,418
W01001244,Rhondda Cynon Taf 025B,13.2,1518,1326,365.4402645721372,508
W01001684,Newport 006E,9.6,840,1422,6866.248189280541,174
