"","","Mid-year 1991 ","Mid-year 2001 ","Mid-year 2011 ","Mid-year 2012 ","Mid-year 2013 ","Mid-year 2014 ","Mid-year 2015 ","Mid-year 2016 ","Mid-year 2017 ","Mid-year 2018 "
"Wales ","",138.550915,140.346533,147.750355,148.247509,148.649948,149.114068,149.454055,150.132295,150.71172,151.361121
"Wales ","Isle of Anglesey ",97.176958,95.325446,98.287584,98.46191,98.51252,98.608119,98.319918,97.938931,98.120287,98.355065
"","Gwynedd ",45.36899,46.093666,47.93948,48.130412,47.990763,48.087019,48.378151,48.64956,48.814851,48.986848
"","Conwy ",95.885276,97.415696,102.43597,102.637598,102.956472,103.407693,103.43434,103.762985,103.801179,104.083636
"","Denbighshire ",106.836573,111.22859,112.243236,112.40338,112.959105,113.340344,113.339149,113.516025,113.725168,113.929531
"","Flintshire ",324.661061,339.731116,348.958754,349.210188,350.231925,351.594242,352.202256,353.438855,354.648025,355.649191
"","Wrexham ",246.499471,255.154148,268.116312,268.965899,269.567359,269.869082,268.807098,268.787248,269.110805,270.21249
"","Powys ",23.105652,24.397954,25.686008,25.675199,25.630996,25.629259,25.620187,25.544328,25.578687,25.565561
"","Ceredigion ",36.924775,42.236145,42.166701,42.524563,42.444478,42.077095,41.560743,41.254964,40.925104,40.878061
"","Pembrokeshire ",69.467813,69.8459,75.748866,76.071351,76.21962,76.498243,76.402486,76.752154,77.044986,77.257505
"","Carmarthenshire ",71.6047,73.261449,77.610677,77.767197,77.909373,78.035517,78.153224,78.36712,78.661597,79.132422
"","Swansea ",605.129707,588.588552,628.698219,630.72372,632.430515,634.690437,638.246258,643.898698,646.58005,649.177117
"","Neath Port Talbot ",314.619767,304.504367,316.967338,317.422803,316.93788,318.265753,319.382888,321.041596,321.975186,323.824238
"","Bridgend ",516.3997,513.440343,556.015989,557.447806,560.506872,563.502123,567.3788,571.961415,575.471164,577.816314
"","Vale of Glamorgan ",356.569625,360.266619,382.623766,383.58728,384.910224,386.640925,386.553332,389.304935,394.73867,399.19379
"","Cardiff ",2107.489106,2200.79774,2451.716845,2475.010291,2499.297364,2518.339508,2537.268095,2563.329501,2574.600065,2585.189286
"","Rhondda Cynon Taf ",553.853328,546.763859,552.570764,555.491899,556.79804,558.460187,559.655518,561.544,563.779058,566.146144
"","Merthyr Tydfil ",534.732871,504.341553,528.065983,528.568468,529.474734,529.905434,531.619264,535.809623,537.954154,540.017928
"","Caerphilly ",615.077298,611.223489,644.519822,645.356196,646.134889,648.669246,649.516435,650.543877,651.776808,652.584341
"","Blaenau Gwent ",668.32892,643.808995,642.079908,642.024724,641.638439,640.617542,639.642631,640.406004,640.212862,641.169378
"","Torfaen ",723.643124,723.253303,725.464941,726.706004,726.833293,728.320977,730.055283,731.861189,734.009182,740.254275
"","Monmouthshire ",94.464885,100.088566,107.772104,108.041805,108.644805,108.987525,109.299625,109.854338,110.224146,110.874256
"","Newport ",711.084028,722.436893,765.17678,767.748627,770.194505,772.178501,776.582132,784.560104,795.094177,804.631003


