"","","Daily ","Weekly ","Less Often ","Never "
"Wales ","",15.981242,4.792073,6.102921,1.488305
"Wales ","Isle of Anglesey ",53.60736,5.705594,6.900134,"*"
"","Gwynedd ",65.449299,4.742873,3.728162,"*"
"","Conwy ",26.766923,5.749819,8.111974,"*"
"","Denbighshire ",20.228057,7.694735,7.882969,"*"
"","Flintshire ",8.08687,3.628647,7.26061,2.620027
"","Wrexham ",9.053577,7.23254,7.024632,"*"
"","Powys ",14.759818,4.713458,7.626341,"*"
"","Ceredigion ",43.609797,5.962563,7.220407,"*"
"","Pembrokeshire ",15.016213,4.624201,7.200849,"*"
"","Carmarthenshire ",34.980779,6.923622,7.723725,"*"
"","Swansea ",8.910558,4.679534,5.621068,"*"
"","Neath Port Talbot ",9.947056,3.700222,6.434084,"*"
"","Bridgend ",5.678739,3.551761,5.06177,"*"
"","Vale of Glamorgan ",8.310285,4.399277,6.055494,"*"
"","Cardiff ",11.49566,4.720836,5.025587,"*"
"","Rhondda Cynon Taf ",7.853353,4.23998,5.317068,"*"
"","Merthyr Tydfil ",7.851459,"*",5.287927,"*"
"","Caerphilly ",10.799782,3.398573,6.818924,"*"
"","Blaenau Gwent ",5.554645,3.361395,5.278999,"*"
"","Torfaen ",8.047648,5.17197,5.319613,"*"
"","Monmouthshire ",5.443732,4.32081,6.628792,"*"
"","Newport ",9.084146,4.591787,3.505027,"*"


