msoa11cd,msoa11nm,MHOL_true,patients_total,MHOL_pct
E02004631,Forest of Dean 006,637,4713,13.515807341396139
W02000001,Isle of Anglesey 001,4052,10008,40.48760991207034
W02000003,Isle of Anglesey 003,4216,20207,20.86405700994705
W02000006,Isle of Anglesey 006,386,7037,5.485292027852778
W02000009,Isle of Anglesey 009,945,4749,19.898926089703096
W02000010,Gwynedd 001,760,14173,5.36230861497213
W02000013,Gwynedd 004,676,6145,11.000813669650123
W02000015,Gwynedd 006,1941,12383,15.67471533554066
W02000016,Gwynedd 007,639,5804,11.009648518263267
W02000017,Gwynedd 008,1292,7262,17.791242082071054
W02000018,Gwynedd 009,79,4805,1.6441207075962538
W02000021,Gwynedd 012,3339,12173,27.429557216791263
W02000023,Gwynedd 014,727,4983,14.589604655829822
W02000025,Gwynedd 016,96,4442,2.1611886537595675
W02000026,Gwynedd 017,589,5480,10.748175182481752
W02000027,Conwy 001,1595,20879,7.639254753580152
W02000028,Conwy 002,163,2458,6.631407648494711
W02000031,Conwy 005,809,6935,11.665465032444123
W02000034,Conwy 008,899,18247,4.9268372883213685
W02000035,Conwy 009,1124,11986,9.377607208409811
W02000036,Conwy 010,3162,15777,20.041833048108003
W02000038,Conwy 012,1273,9797,12.993773604164542
W02000039,Conwy 013,698,7556,9.237691900476444
W02000040,Conwy 014,684,2276,30.052724077328648
W02000041,Conwy 015,836,5464,15.300146412884333
W02000043,Denbighshire 002,748,28822,2.5952397474151687
W02000045,Denbighshire 004,2629,25193,10.43543841543286
W02000047,Denbighshire 006,1576,6715,23.469843633655994
W02000052,Denbighshire 011,3287,19898,16.519248165644786
W02000055,Denbighshire 014,4313,13096,32.93372021991448
W02000060,Flintshire 003,1977,23861,8.285486777586858
W02000061,Flintshire 004,2022,15983,12.650941625477069
W02000065,Flintshire 008,2400,14699,16.327641336145316
W02000066,Flintshire 009,2352,13753,17.101723260379554
W02000068,Flintshire 011,1403,18277,7.676314493625869
W02000069,Flintshire 012,1784,26244,6.7977442463039175
W02000072,Flintshire 015,6378,15519,41.09800889232554
W02000073,Flintshire 016,440,9983,4.407492737654012
W02000076,Flintshire 019,274,2426,11.294311624072547
W02000077,Flintshire 020,2359,11253,20.963298675908646
W02000081,Wrexham 004,649,7946,8.167631512710798
W02000083,Wrexham 006,3053,12254,24.91431369348784
W02000084,Wrexham 007,397,5627,7.055269237604407
W02000086,Wrexham 009,5807,13384,43.38762701733413
W02000087,Wrexham 010,69,3862,1.7866390471258418
W02000088,Wrexham 011,2216,13360,16.58682634730539
W02000089,Wrexham 012,606,9269,6.5379221059445465
W02000094,Wrexham 017,246,2267,10.851345390383766
W02000095,Wrexham 018,2078,6631,31.337656462072083
W02000096,Wrexham 019,2292,9777,23.442773857011353
W02000097,Powys 001,49,10674,0.45905939666479295
W02000099,Powys 003,524,11084,4.727535185853482
W02000101,Powys 005,308,7152,4.306487695749441
W02000102,Powys 006,428,5729,7.470762785826497
W02000104,Powys 008,1961,13903,14.104869452636121
W02000106,Powys 010,766,8748,8.756287151348879
W02000107,Powys 011,2220,8234,26.961379645372848
W02000108,Powys 012,482,3292,14.641555285540706
W02000109,Powys 013,1155,10403,11.102566567336346
W02000113,Powys 017,1624,15666,10.366398570151922
W02000114,Powys 018,799,9385,8.513585508790623
W02000116,Ceredigion 001,240,2677,8.965259618976466
W02000117,Ceredigion 002,387,11423,3.3879016020309907
W02000118,Ceredigion 003,312,7605,4.102564102564102
W02000120,Ceredigion 005,950,7309,12.997674100424133
W02000124,Ceredigion 009,754,10016,7.527955271565495
W02000125,Ceredigion 010,2158,19641,10.987220609948576
W02000127,Pembrokeshire 002,682,7454,9.149449959753152
W02000130,Pembrokeshire 005,1138,14638,7.774286104659106
W02000132,Pembrokeshire 007,1387,8896,15.591276978417264
W02000135,Pembrokeshire 010,1290,21830,5.9092991296381125
W02000136,Pembrokeshire 011,786,9547,8.23295276002933
W02000138,Pembrokeshire 013,10900,22597,48.23649156967739
W02000141,Pembrokeshire 016,40,7360,0.5434782608695652
W02000143,Carmarthenshire 002,104,5488,1.8950437317784257
W02000145,Carmarthenshire 004,767,9527,8.050802981001365
W02000146,Carmarthenshire 005,60,3866,1.5519917227108122
W02000149,Carmarthenshire 008,1949,21771,8.9522759634376
W02000153,Carmarthenshire 012,137,4184,3.2743785850860423
W02000154,Carmarthenshire 013,168,10485,1.602288984263233
W02000156,Carmarthenshire 015,760,16024,4.742885671492761
W02000157,Carmarthenshire 016,538,4333,12.416339718439879
W02000159,Carmarthenshire 018,546,8296,6.581485053037609
W02000160,Carmarthenshire 019,376,4588,8.195292066259809
W02000162,Carmarthenshire 021,205,7222,2.8385488784270283
W02000164,Carmarthenshire 023,2020,40170,5.028628329599203
W02000166,Carmarthenshire 025,1505,7597,19.810451494010795
W02000168,Swansea 001,324,9345,3.467094703049759
W02000169,Swansea 002,813,24863,3.269919156980252
W02000172,Swansea 005,1888,19388,9.737982257066227
W02000175,Swansea 008,807,7043,11.458185432344171
W02000176,Swansea 009,1231,8747,14.073396593117641
W02000178,Swansea 011,23,2139,1.0752688172043012
W02000182,Swansea 015,159,5097,3.1194820482636847
W02000183,Swansea 016,2338,8153,28.67656077517478
W02000186,Swansea 019,119,5690,2.091388400702988
W02000188,Swansea 021,103,5348,1.9259536275243083
W02000191,Swansea 024,3676,22928,16.032798325191905
W02000192,Swansea 025,1910,21363,8.940691850395543
W02000194,Swansea 027,4882,31046,15.725053146943246
W02000196,Swansea 029,455,7603,5.984479810601079
W02000197,Swansea 030,607,6358,9.54702736709657
W02000201,Neath Port Talbot 003,1482,9510,15.583596214511042
W02000202,Neath Port Talbot 004,1217,12907,9.428992019834197
W02000206,Neath Port Talbot 008,714,18760,3.805970149253731
W02000208,Neath Port Talbot 010,1031,13958,7.386445049434016
W02000211,Neath Port Talbot 013,621,6123,10.142087212150907
W02000212,Neath Port Talbot 014,73,5714,1.2775638781939098
W02000214,Neath Port Talbot 016,1169,28375,4.119823788546255
W02000217,Neath Port Talbot 019,1340,11078,12.096046217728832
W02000218,Bridgend 001,862,6617,13.02705153392776
W02000219,Bridgend 002,2801,15325,18.27732463295269
W02000220,Bridgend 003,595,7408,8.031857451403887
W02000221,Bridgend 004,329,7543,4.36165981704892
W02000223,Bridgend 006,356,4434,8.028867839422643
W02000224,Bridgend 007,1863,10840,17.186346863468636
W02000225,Bridgend 008,221,8693,2.5422753939951686
W02000226,Bridgend 009,815,8144,10.0073673870334
W02000231,Bridgend 014,4376,18918,23.131409239877364
W02000233,Bridgend 016,7050,18246,38.63860572180204
W02000238,The Vale of Glamorgan 002,4246,18396,23.081104587953902
W02000241,The Vale of Glamorgan 005,7748,26998,28.698422105341137
W02000242,The Vale of Glamorgan 006,95,9729,0.976462123548155
W02000244,The Vale of Glamorgan 008,955,3684,25.922909880564603
W02000246,The Vale of Glamorgan 010,696,7464,9.32475884244373
W02000247,The Vale of Glamorgan 011,1339,10667,12.552732727102278
W02000248,The Vale of Glamorgan 012,3567,27903,12.783571658961401
W02000251,The Vale of Glamorgan 015,375,14107,2.6582547671368824
W02000252,Rhondda Cynon Taf 001,288,5987,4.810422582261567
W02000253,Rhondda Cynon Taf 002,280,11918,2.3493874811209934
W02000256,Rhondda Cynon Taf 005,42,5467,0.7682458386683738
W02000257,Rhondda Cynon Taf 006,461,10399,4.433118569093182
W02000258,Rhondda Cynon Taf 007,1,6467,0.015463120457708365
W02000259,Rhondda Cynon Taf 008,103,4207,2.448300451628239
W02000261,Rhondda Cynon Taf 010,5,10319,0.04845430758794457
W02000263,Rhondda Cynon Taf 012,124,6531,1.898637268412188
W02000264,Rhondda Cynon Taf 013,43,6040,0.7119205298013245
W02000267,Rhondda Cynon Taf 016,1,9007,0.011102475852115021
W02000269,Rhondda Cynon Taf 018,50,4752,1.0521885521885523
W02000271,Rhondda Cynon Taf 020,762,9246,8.241401687216094
W02000272,Rhondda Cynon Taf 021,1391,30695,4.5316826844763
W02000273,Rhondda Cynon Taf 022,611,15940,3.8331242158092844
W02000275,Rhondda Cynon Taf 024,1885,9056,20.814929328621908
W02000276,Rhondda Cynon Taf 025,1030,17273,5.963063741098825
W02000282,Rhondda Cynon Taf 031,2891,12184,23.727839789888378
W02000284,Merthyr Tydfil 002,67,20227,0.33124042121916253
W02000286,Merthyr Tydfil 004,514,12502,4.1113421852503595
W02000288,Merthyr Tydfil 006,252,6847,3.680443990068643
W02000289,Merthyr Tydfil 007,38,6232,0.6097560975609756
W02000290,Caerphilly 001,1254,18795,6.671987230646447
W02000293,Caerphilly 004,635,11593,5.477443284740792
W02000295,Caerphilly 006,1752,9829,17.824804150981787
W02000296,Caerphilly 007,412,9813,4.198512177723428
W02000297,Caerphilly 008,752,8355,9.000598444045483
W02000300,Caerphilly 011,2445,21638,11.299565579073851
W02000302,Caerphilly 013,2211,19173,11.53184165232358
W02000303,Caerphilly 014,957,7472,12.807815845824411
W02000306,Caerphilly 017,4446,22230,20.0
W02000308,Caerphilly 019,630,3013,20.909392631928313
W02000309,Caerphilly 020,2452,10509,23.33238176800837
W02000311,Caerphilly 022,2414,9658,24.99482294470905
W02000313,Caerphilly 024,4317,8958,48.191560616208974
W02000315,Blaenau Gwent 002,550,10473,5.251599350711353
W02000317,Blaenau Gwent 004,1750,15419,11.349633568973344
W02000318,Blaenau Gwent 005,782,6493,12.04373941167411
W02000319,Blaenau Gwent 006,468,6713,6.971547743184865
W02000320,Blaenau Gwent 007,244,10645,2.2921559417566932
W02000321,Blaenau Gwent 008,631,11592,5.4434092477570735
W02000322,Blaenau Gwent 009,285,4556,6.2554872695346795
W02000323,Torfaen 001,862,6459,13.34571915157145
W02000326,Torfaen 004,2717,25894,10.492778249787596
W02000328,Torfaen 006,483,6722,7.185361499553704
W02000329,Torfaen 007,3710,11408,32.52103786816269
W02000330,Torfaen 008,983,3986,24.661314601103864
W02000332,Torfaen 010,4197,17410,24.106835152211374
W02000336,Monmouthshire 001,2115,8725,24.240687679083095
W02000337,Monmouthshire 002,4282,14345,29.850121993726038
W02000339,Monmouthshire 004,4343,18402,23.600695576567766
W02000341,Monmouthshire 006,648,6118,10.591696632886565
W02000342,Monmouthshire 007,8216,18780,43.74866879659212
W02000345,Monmouthshire 010,5458,19480,28.01848049281314
W02000347,Newport 001,1343,9570,14.033437826541276
W02000350,Newport 004,843,4541,18.56419290905087
W02000352,Newport 006,1473,9421,15.6352828786753
W02000353,Newport 007,1318,19946,6.607841171162137
W02000354,Newport 008,2481,20895,11.873653984206747
W02000355,Newport 009,2260,12105,18.669971086327962
W02000356,Newport 010,413,8290,4.981905910735826
W02000358,Newport 012,313,6817,4.591462520170163
W02000359,Newport 013,292,9835,2.9689883070665988
W02000360,Newport 014,49,4789,1.0231781165170182
W02000361,Newport 015,94,5049,1.8617548029312734
W02000364,Newport 018,4299,32964,13.041499817983254
W02000365,Newport 019,1592,6288,25.318066157760814
W02000368,Cardiff 002,1134,14284,7.938952674320919
W02000369,Cardiff 003,210,10122,2.0746887966804977
W02000371,Cardiff 005,691,9078,7.6118087684512
W02000372,Cardiff 006,1053,8878,11.86077945483217
W02000377,Cardiff 011,1720,24141,7.124808417215525
W02000378,Cardiff 012,690,10685,6.457650912494151
W02000383,Cardiff 017,3644,18137,20.091525610630203
W02000384,Cardiff 018,509,7902,6.4414072386737535
W02000386,Cardiff 020,626,8365,7.48356246264196
W02000388,Cardiff 022,1266,15497,8.16932309479254
W02000389,Cardiff 023,805,6746,11.93299733175215
W02000391,Cardiff 025,686,18339,3.7406619772070453
W02000392,Cardiff 026,1089,12885,8.451688009313155
W02000394,Cardiff 028,1599,13327,11.998199144593682
W02000395,Cardiff 029,1586,23540,6.737468139337298
W02000397,Cardiff 031,114,9296,1.2263339070567987
W02000399,Cardiff 033,2550,21427,11.900872730666915
W02000400,Cardiff 034,658,7703,8.542126444242502
W02000402,Cardiff 036,48,6090,0.7881773399014778
W02000403,Cardiff 037,3159,12996,24.30747922437673
W02000404,Cardiff 038,1428,7379,19.352215747391245
W02000406,Cardiff 040,291,6446,4.514427551970214
W02000407,Cardiff 041,0,12668,0.0
W02000408,Cardiff 042,168,3792,4.430379746835443
W02000409,Cardiff 043,665,16318,4.0752543203824
W02000410,Cardiff 044,550,18122,3.0349851009822313
W02000411,Cardiff 045,64,5757,1.1116901163800592
W02000412,Cardiff 046,73,10792,0.6764269829503335
W02000417,Neath Port Talbot 020,888,7577,11.719677972812459
W02000418,Carmarthenshire 027,868,14515,5.980020668274199
W02000420,Wrexham 020,173,12600,1.373015873015873
W02000421,Ceredigion 011,107,6975,1.5340501792114696
W02000423,Cardiff 049,512,8974,5.705371071985737
