lad19cd,lad19nm,covidIncidence_100k,group_count,total_vol_count,new_vol_count
W06000001,Isle of Anglesey,187.2,4,443,247
W06000002,Gwynedd,248.0,12,854,436
W06000003,Conwy,266.3,8,1035,645
W06000004,Denbighshire,370.3,4,1245,843
W06000005,Flintshire,205.0,8,1356,966
W06000006,Wrexham,260.1,7,874,584
W06000008,Ceredigion,52.1,6,517,285
W06000009,Pembrokeshire,200.7,15,1038,567
W06000010,Carmarthenshire,300.2,11,1362,745
W06000011,Swansea,473.5,12,2491,1388
W06000012,Neath Port Talbot,374.4,11,792,352
W06000013,Bridgend,314.1,5,1553,1114
W06000014,Vale of Glamorgan,435.8,10,1239,805
W06000015,Cardiff,507.9,21,5039,3106
W06000016,Rhondda Cynon Taf,541.8000000000002,11,1628,845
W06000018,Caerphilly,351.3,6,1549,813
W06000019,Blaenau Gwent,449.0,2,614,293
W06000020,Torfaen,335.3,10,837,397
W06000021,Monmouthshire,305.9000000000001,13,894,584
W06000022,Newport,516.0,3,1788,958
W06000023,Powys,163.10000000000005,21,2078,856
W06000024,Merthyr Tydfil,521.7,2,448,243
