Location,Lat,Lng,Title,URL,Display,Source,Notes,Force,Force URL,Neighbourhood,Neighbourhood URL,Neighbourhood email,Created,ID,ISO 8601 Date
"Abercegir, Machynlleth",52.600268,-3.767513,Abercegir Covid Support Group,https://www.facebook.com/groups/233395261131422/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Machynlleth,https://www.dyfed-powys.police.uk/en/your-area/powys/newtown/machynlleth/,MachynllethNPT@dyfed-powys.pnn.police.uk,15/03/2020 15:48:33,17378c29-e754-44d3-a7f6-cc0c3eb1fc8a,2020-03-15
Aberdulais ,51.681848,-3.775361,Covid-19 Cilfrew and Aberdulais,https://www.facebook.com/groups/covid19cilfrewandaberdulais/,VISIBLE,facebook group,,South Wales Police,https://www.south-wales.police.uk,Aberdulais,https://www.south-wales.police.uk/en/neighbourhood/neath-port-talbot/aberdulais/,,19/03/2020 22:37:33,7f6a74b0-57b8-4cf2-8382-135cf0d8fbad,2020-03-19
Abergavenny,51.825366,-3.019423,Abergavenny Street Monitors,https://www.facebook.com/groups/abergavennystreetmonitors/,VISIBLE,facebook group,,Gwent Police,http://www.gwent.police.uk/,Priory,http://www.gwent.police.uk/nc/my-area/ward/MA/61/,abergavenny@gwent.pnn.police.uk,19/03/2020 16:03:02,9ee9d81a-38ee-463e-bbdf-5784cdfd85ca,2020-03-19
"Abermule , Powys, SY15 6NS ",52.5444779,-3.235731,Abermule Community Centre Outreach,https://www.facebook.com/abermulecommunitycentre,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Newtown Rural,https://www.dyfed-powys.police.uk/en/your-area/powys/newtown/newtown-rural/,NewtownRuralNPT@dyfed-powys.pnn.police.uk,25/03/2020 21:47:59,bf84a1b6-df88-494f-84dc-84a7e063eca3,2020-03-25
"Abermule, Powys, SY15 6NS",52.5444779,-3.235731,Abermule Community Centre - Outreach,https://www.abermule.cymru,VISIBLE,website,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Newtown Rural,https://www.dyfed-powys.police.uk/en/your-area/powys/newtown/newtown-rural/,NewtownRuralNPT@dyfed-powys.pnn.police.uk,25/03/2020 21:54:11,9f9e46e6-0497-4dc9-8259-3c6bee7b1cdd,2020-03-25
"Aberystwyth, Ceredigion",52.415303,-4.08292,Ceredigion Coronavirus Support,https://www.facebook.com/groups/ceredigioncoronavirussupport/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Aberystwyth Town and University,https://www.dyfed-powys.police.uk/en/your-area/ceredigion/aberystwyth-town-and-university/,AberystwythNPT@dyfed-powys.pnn.police.uk,16/03/2020 11:54:34,f1ab1222-a2f1-467c-9d07-348b39d30993,2020-03-16
"Alltwen, Pontardawe",51.7143029,-3.8435953,Alltwen Covid-19 Community Volunteers,https://www.facebook.com/groups/1098155540582789/,UPDATED,facebook group,,South Wales Police,https://www.south-wales.police.uk,Allt-Wen,https://www.south-wales.police.uk/en/neighbourhood/neath-port-talbot/allt-wen/,,18/03/2020 21:24:23,adb7dcf1-1443-4e80-bb9e-2b2555afbe47,2020-03-18
"Ammanford, South Wales",51.792888,-3.988459,Amman Valley Support for CoronaVirus,https://www.facebook.com/groups/342905956650233/,VISIBLE,facebook group,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Amman Towy,https://www.dyfed-powys.police.uk/en/your-area/carmarthenshire/amman-towy/,AmmanTowyNPT@dyfed-powys.pnn.police.uk,22/03/2020 10:49:15,09e283fa-f26f-4c68-89f6-e9b80eeb1f3c,2020-03-22
Amroth Ward (Pembrokeshire),51.740576,-4.662146,Amroth and District Good Neighbours,http://amrothgoodneighbours.wales,VISIBLE,website,,Dyfed-Powys Police,http://www.dyfed-powys.police.uk,Tenby Rural,https://www.dyfed-powys.police.uk/en/your-area/pembrokeshire/tenby-rural/,TenbyNPT@dyfed-powys.pnn.police.uk,27/03/2020 20:12:35,91ed4ee9-978f-4e22-9e51-45399b2bfbcf,2020-03-27
Anglesey,53.265325,-4.4291403,Covid 19 Mutual Aid Môn,https://www.facebook.com/groups/205528177434085/,VISIBLE,facebook group,,North Wales Police,,Bryngwran,https://www.north-wales.police.uk/your-neighbourhood,,15/03/2020 20:31:31,d457be56-e6ee-4451-8943-5716fab841fb,2020-03-15
