AREA,total_vol_count,new_vol_count,
Isle of Anglesey ,443,247,
Blaenau Gwent ,614,293,
Bridgend ,1553,1114,
Caerphilly ,1549,813,
Cardiff ,5039,3106,
Carmarthenshire ,1362,745,
Ceredigion ,517,285,
Conwy ,1035,645,
Denbighshire ,1245,843,
Flintshire ,1356,966,
Vale of Glamorgan ,1239,805,
Gwynedd ,854,436,
Merthyr Tydfil ,448,243,
Monmouthshire ,894,584,
Neath Port Talbot ,792,352,
Newport ,1788,958,
Outside Area,1155,446,
Pembrokeshire ,1038,567,
Powys ,2078,856,
Rhondda Cynon Taf ,1628,845,
Shropshire,106,51,
Swansea ,2491,1388,
Torfaen ,837,397,
Wrexham ,874,584,
