area_code,area_name,shielded_count,population_count,over_65_count,pop_density_persqkm,vulnerable_count,vulnerable_pct,has_internet_percent,MHOL_pct,welsh_speakers_percent,wimd_2019,belong_percent
W06000001,Isle of Anglesey,2034.0,69961.0,17992.0,98.355065,156.0,50.0,85.991,22.85421775672008,66.213088,13.636363636363635,73.8
W06000002,Gwynedd,3154.0,124178.0,28171.0,48.986847999999995,136.0,40.0,87.453,13.056020605280102,73.920334,5.47945205479452,81.7
W06000003,Conwy,3222.0,117181.0,32154.0,104.083636,195.0,48.5,87.733,11.090505548705304,40.628716,12.676056338028168,78.3
W06000004,Denbighshire,2962.0,95330.0,22959.0,113.92953100000001,152.0,42.9,89.819,13.393581153173148,35.805761000000004,15.517241379310345,79.6
W06000005,Flintshire,4102.0,155593.0,32652.0,355.64919100000003,197.0,41.2,88.58200000000001,14.071895682837932,18.976126999999998,10.869565217391305,75.0
W06000006,Wrexham,3971.0,136126.0,26959.0,270.21249,167.0,41.3,85.72400000000002,18.134196768305888,23.310749,11.76470588235294,68.9
W06000008,Ceredigion,1706.0,72992.0,18195.0,40.878060999999995,160.0,46.2,87.706,7.476464674161411,56.792767000000005,4.3478260869565215,76.8
W06000009,Pembrokeshire,3697.0,125055.0,32130.0,77.25750500000001,206.0,47.2,87.423,17.572192976755268,26.841263,11.267605633802818,78.5
W06000010,Carmarthenshire,5355.0,187568.0,44011.0,79.13242199999999,295.0,47.4,88.37800000000001,6.3283691622486815,49.628126,10.714285714285714,73.2
W06000011,Swansea,5994.0,246466.0,48049.0,649.177117,343.0,43.0,88.28600000000002,10.445084300770887,19.21116,23.64864864864865,68.69999999999999
W06000012,Neath Port Talbot,3889.0,142906.0,29530.0,323.824238,231.0,49.5,82.518,7.486710759460361,20.081362,32.967032967032964,79.4
W06000013,Bridgend,4313.0,144876.0,29379.0,577.8163139999999,189.0,43.1,85.311,18.148594680129605,14.292269999999998,20.454545454545457,75.9
W06000014,Vale of Glamorgan,3576.0,132165.0,27691.0,399.19379,199.0,42.6,92.437,15.991021286612634,18.765056,12.658227848101266,74.0
W06000015,Cardiff,8303.0,364248.0,51339.0,2585.189286,344.0,32.5,94.01800000000001,7.889363600487294,21.242083,27.570093457943923,73.5
W06000016,Rhondda Cynon Taf,8387.0,240131.0,45994.0,566.146144,297.0,38.5,88.165,5.680160466812546,17.410401,28.57142857142857,74.0
W06000018,Caerphilly,5407.0,181019.0,34992.0,652.584341,247.0,40.4,89.31500000000001,15.323902729824386,21.017279000000002,23.636363636363637,73.2
W06000019,Blaenau Gwent,2386.0,69713.0,13932.0,641.169378,159.0,39.1,84.58600000000001,7.148168945683023,14.195038999999998,44.680851063829785,71.30000000000001
W06000020,Torfaen,2842.0,93049.0,18973.0,740.254275,181.0,41.5,91.224,18.019171106999266,18.539230999999997,31.666666666666664,65.9
W06000021,Monmouthshire,2340.0,94142.0,23424.0,110.874256,205.0,39.4,92.67800000000001,29.192778101339545,16.393334,1.7857142857142856,79.2
W06000022,Newport,3972.0,153302.0,26468.0,804.6310030000001,198.0,36.6,91.497,11.142116802870241,17.18096,34.73684210526316,67.3
W06000023,Powys,2683.0,132447.0,35775.0,25.565561,617.0,44.3,84.346,9.89354560276206,27.099617,6.329113924050633,77.9
W06000024,Merthyr Tydfil,2096.0,60183.0,11224.0,540.017928,103.0,32.3,84.649,1.9014146000698569,13.139385999999998,30.555555555555557,76.3
