lad19cd,lad19nm,White - Welsh/English/Scottish/Northern Irish/British,White - Irish,White - Gypsy or Irish Traveller,White - Other,Mixed - White and Black Caribbean,Mixed - White and Black African,Mixed - White and Asian,Mixed - Other,Asian - Indian,Asian - Pakistani,Asian - Bangladeshi,Asian - Chinese,Asian - Other,Black - African,Black - Caribbean,Black - Other,Other - Arab,Other - Any other ethnic group,White - Polish (SPONTANEOUS ONLY)
W06000001,Isle of Anglesey,98.1,0.6,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
W06000002,Gwynedd,96.2,0.0,0.0,1.5,0.0,0.0,0.3,0.3,0.0,0.9,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.3
W06000003,Conwy,96.3,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.5
W06000004,Denbighshire,96.0,0.3,0.3,0.3,0.0,0.0,0.6,0.3,0.8,0.0,0.6,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.6
W06000005,Flintshire,92.1,0.8,0.0,2.1,0.0,0.0,0.0,0.4,0.2,0.2,0.0,0.4,0.2,0.0,0.0,0.0,0.2,1.0,2.3
W06000006,Wrexham,90.8,0.5,0.0,2.7,0.0,0.7,0.0,0.2,0.7,0.2,0.2,0.0,1.0,0.5,0.0,0.0,0.0,0.5,1.7
W06000008,Ceredigion,95.7,0.9,0.0,2.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
W06000009,Pembrokeshire,97.2,0.2,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2
W06000010,Carmarthenshire,95.2,0.3,0.2,2.1,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.0,0.0,0.2,0.0,0.0,0.2,0.5,0.8
W06000011,Swansea,90.5,0.5,0.0,1.9,0.3,0.1,0.1,0.1,0.4,0.3,1.0,1.0,0.8,0.8,0.1,0.0,0.9,0.6,0.8
W06000012,Neath Port Talbot,98.5,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W06000013,Bridgend,98.6,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2
W06000014,Vale of Glamorgan,95.1,0.4,0.2,1.7,0.0,0.2,0.0,0.2,0.6,0.0,0.0,0.2,0.4,0.2,0.0,0.4,0.0,0.2,0.0
W06000015,Cardiff,82.2,1.5,0.0,1.9,0.5,0.2,0.3,0.3,2.7,0.9,1.0,0.9,1.0,1.7,0.4,0.5,1.0,2.3,0.9
W06000016,Rhondda Cynon Taf,96.4,0.1,0.0,0.4,0.4,0.0,0.0,0.3,0.3,0.1,0.1,0.3,0.5,0.1,0.1,0.1,0.0,0.3,0.5
W06000018,Caerphilly,97.7,0.3,0.2,0.3,0.3,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.2,0.2,0.2
W06000019,Blaenau Gwent,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2
W06000020,Torfaen,97.0,0.5,0.0,0.5,0.2,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.7
W06000021,Monmouthshire,95.8,0.4,0.0,1.9,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.4,0.2,0.0,0.2,0.0,0.0,0.4,0.0
W06000022,Newport,84.6,0.2,0.0,3.0,0.7,0.0,0.2,0.0,1.1,1.5,0.6,0.2,0.2,2.4,0.6,0.2,0.4,2.6,1.7
W06000023,Powys,95.8,0.6,0.1,1.8,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.4,0.1,0.0,0.0,0.1,0.3,0.4
W06000024,Merthyr Tydfil,95.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.9,1.9
