lad19cd,lad19nm,has_internet_percent
W06000001,Isle of Anglesey,85.991
W06000002,Gwynedd,87.453
W06000003,Conwy,87.733
W06000004,Denbighshire,89.819
W06000005,Flintshire,88.58200000000001
W06000006,Wrexham,85.72400000000002
W06000008,Ceredigion,87.706
W06000009,Pembrokeshire,87.423
W06000010,Carmarthenshire,88.37800000000001
W06000011,Swansea,88.28600000000002
W06000012,Neath Port Talbot,82.518
W06000013,Bridgend,85.311
W06000014,Vale of Glamorgan,92.437
W06000015,Cardiff,94.01800000000001
W06000016,Rhondda Cynon Taf,88.165
W06000018,Caerphilly,89.31500000000001
W06000019,Blaenau Gwent,84.58600000000001
W06000020,Torfaen,91.224
W06000021,Monmouthshire,92.67800000000001
W06000022,Newport,91.497
W06000023,Powys,84.346
W06000024,Merthyr Tydfil,84.649
