lad19cd,lad19nm,over_65_count
W06000001,Isle of Anglesey,17992
W06000002,Gwynedd,28171
W06000003,Conwy,32154
W06000004,Denbighshire,22959
W06000005,Flintshire,32652
W06000006,Wrexham,26959
W06000008,Ceredigion,18195
W06000009,Pembrokeshire,32130
W06000010,Carmarthenshire,44011
W06000011,Swansea,48049
W06000012,Neath Port Talbot,29530
W06000013,Bridgend,29379
W06000014,Vale of Glamorgan,27691
W06000015,Cardiff,51339
W06000016,Rhondda Cynon Taf,45994
W06000018,Caerphilly,34992
W06000019,Blaenau Gwent,13932
W06000020,Torfaen,18973
W06000021,Monmouthshire,23424
W06000022,Newport,26468
W06000023,Powys,35775
W06000024,Merthyr Tydfil,11224
