lad19cd,lad19nm,pop_density_persqkm
W06000001,Isle of Anglesey,98.355065
W06000002,Gwynedd,48.986847999999995
W06000003,Conwy,104.083636
W06000004,Denbighshire,113.92953100000001
W06000005,Flintshire,355.64919100000003
W06000006,Wrexham,270.21249
W06000008,Ceredigion,40.878060999999995
W06000009,Pembrokeshire,77.25750500000001
W06000010,Carmarthenshire,79.13242199999999
W06000011,Swansea,649.177117
W06000012,Neath Port Talbot,323.824238
W06000013,Bridgend,577.8163139999999
W06000014,Vale of Glamorgan,399.19379
W06000015,Cardiff,2585.189286
W06000016,Rhondda Cynon Taf,566.146144
W06000018,Caerphilly,652.584341
W06000019,Blaenau Gwent,641.169378
W06000020,Torfaen,740.254275
W06000021,Monmouthshire,110.874256
W06000022,Newport,804.6310030000001
W06000023,Powys,25.565561
W06000024,Merthyr Tydfil,540.017928
