LSOA11CD,LSOA11NM,wimd_2019
W01000461,Powys 001A,888
W01000362,Wrexham 006C,433
W01000299,Flintshire 019A,1619
W01000708,Carmarthenshire 025E,172
W01000789,Swansea 016E,276
W01000709,Carmarthenshire 004D,976
W01000788,Swansea 016D,230
W01000695,Carmarthenshire 012B,503
W01000614,Pembrokeshire 008D,941
W01000617,Pembrokeshire 002F,738
W01000696,Carmarthenshire 012C,906
W01000697,Carmarthenshire 015A,890
W01000615,Pembrokeshire 011E,1452
W01000694,Carmarthenshire 008D,1437
W01000250,Flintshire 014B,1738
W01001313,Merthyr Tydfil 006F,596
W01000680,Carmarthenshire 011A,1303
W01001176,Rhondda Cynon Taf 013A,652
W01001896,Cardiff 020E,1793
W01001005,Bridgend 009B,1504
W01001509,Torfaen 013D,1821
W01001277,Rhondda Cynon Taf 028D,1625
W01001585,Monmouthshire 007C,1903
W01001787,Cardiff 023C,436
W01001375,Caerphilly 001B,228
W01001372,Caerphilly 022B,1169
W01001377,Caerphilly 013A,1134
W01001374,Caerphilly 001A,391
W01001098,The Vale of Glamorgan 010B,1799
W01001376,Caerphilly 001C,67
W01001099,The Vale of Glamorgan 013D,699
W01001019,Bridgend 005D,287
W01001373,Caerphilly 022C,926
W01001370,Caerphilly 023A,1075
W01001415,Caerphilly 008B,729
W01001143,Rhondda Cynon Taf 012A,992
W01001144,Rhondda Cynon Taf 012B,33
W01001245,Rhondda Cynon Taf 025C,1651
W01001145,Rhondda Cynon Taf 012C,506
W01001146,Rhondda Cynon Taf 012D,1069
W01001147,Rhondda Cynon Taf 004A,923
W01001244,Rhondda Cynon Taf 025B,1518
W01001684,Newport 006E,840
W01000111,Gwynedd 007C,650
W01001462,Blaenau Gwent 006A,825
W01001449,Blaenau Gwent 002D,537
W01000998,Bridgend 011A,1412
W01000919,Neath Port Talbot 020A,807
W01000918,Neath Port Talbot 002A,1206
W01000550,Ceredigion 011G,765
W01000551,Ceredigion 010E,1011
W01000727,Carmarthenshire 019E,1418
W01000726,Carmarthenshire 019D,1690
W01001618,Newport 003B,204
W01001699,Cardiff 049A,150
W01000724,Carmarthenshire 011C,818
W01001882,Cardiff 011C,1232
W01001803,Cardiff 015A,277
W01001883,Cardiff 016C,126
W01001802,Cardiff 007A,618
W01001805,Cardiff 015C,435
W01001884,Cardiff 013D,13
W01001804,Cardiff 015B,354
W01001706,Cardiff 041B,613
W01001786,Cardiff 023B,919
W01001297,Merthyr Tydfil 002C,629
W01000644,Carmarthenshire 006B,1464
W01000645,Carmarthenshire 006C,1256
W01000456,Powys 013C,701
W01000457,Powys 002B,1368
W01000266,Flintshire 017E,1582
W01000627,Carmarthenshire 013C,1026
W01000626,Carmarthenshire 013B,434
W01000230,Denbighshire 017F,1327
W01001476,Blaenau Gwent 009D,227
W01000624,Carmarthenshire 005A,1398
W01001477,Blaenau Gwent 009E,757
W01001770,Cardiff 018B,1527
W01000361,Wrexham 019E,944
W01000150,Conwy 005B,781
W01001621,Newport 003E,169
W01001391,Caerphilly 006F,947
W01001175,Rhondda Cynon Taf 009A,680
W01000686,Carmarthenshire 001B,1108
W01000753,Swansea 002D,697
W01001819,Cardiff 014D,1823
W01001814,Cardiff 017E,984
W01001083,The Vale of Glamorgan 002B,1726
W01000742,Swansea 016A,23
W01000991,Bridgend 001A,5
W01000910,Neath Port Talbot 009B,1549
W01000992,Bridgend 001B,46
W01000913,Neath Port Talbot 010B,692
W01000554,Pembrokeshire 009A,1450
W01000557,Pembrokeshire 014A,1392
W01000990,Bridgend 017B,408
W01000555,Pembrokeshire 008A,1402
W01000937,Neath Port Talbot 013E,278
W01000934,Neath Port Talbot 008A,82
W01000936,Neath Port Talbot 012A,221
W01000935,Neath Port Talbot 008B,109
W01000932,Neath Port Talbot 019A,500
W01001191,Rhondda Cynon Taf 031A,1649
W01001111,The Vale of Glamorgan 011E,815
W01001192,Rhondda Cynon Taf 031B,257
W01001110,The Vale of Glamorgan 011D,1686
W01001193,Rhondda Cynon Taf 030A,1744
W01001113,The Vale of Glamorgan 003A,1600
W01001194,Rhondda Cynon Taf 030B,1812
W01001112,The Vale of Glamorgan 011F,1873
W01001190,Rhondda Cynon Taf 029D,1609
W01001118,The Vale of Glamorgan 014C,1493
W01000577,Pembrokeshire 007A,1289
W01000630,Carmarthenshire 024C,810
W01000572,Pembrokeshire 005D,1205
W01000211,Denbighshire 012D,1123
W01000290,Flintshire 004B,223
W01000155,Conwy 004A,1596
W01001693,Newport 013E,112
W01001612,Newport 011B,772
W01001615,Newport 005B,817
W01001694,Cardiff 036A,184
W01001614,Newport 005A,226
W01001695,Cardiff 036B,361
W01001602,Newport 012B,1761
W01000198,Denbighshire 011B,170
W01001571,Monmouthshire 001D,1261
W01000958,Neath Port Talbot 016B,76
W01000458,Powys 002C,1399
W01000459,Powys 014D,1027
W01000731,Carmarthenshire 017C,1296
W01001523,Torfaen 004C,661
W01000960,Neath Port Talbot 017F,348
W01000968,Neath Port Talbot 019D,751
W01000718,Carmarthenshire 010D,683
W01000137,Conwy 015C,1178
W01001453,Blaenau Gwent 008D,160
W01001452,Blaenau Gwent 007C,1156
W01001450,Blaenau Gwent 007A,687
W01001553,Monmouthshire 004B,1212
W01001552,Monmouthshire 004A,1817
W01001740,Cardiff 039D,30
W01001743,Cardiff 043B,1403
W01001506,Torfaen 010A,206
W01000320,Flintshire 002B,464
W01000194,Denbighshire 011A,602
W01000679,Carmarthenshire 002D,1067
W01000678,Carmarthenshire 002C,763
W01000790,Swansea 016F,363
W01000671,Carmarthenshire 018B,990
W01000711,Carmarthenshire 021E,404
W01000670,Carmarthenshire 018A,318
W01001657,Newport 020C,1563
W01001490,Torfaen 001D,898
W01000769,Swansea 020B,1797
W01000768,Swansea 020A,1501
W01000583,Pembrokeshire 004B,1317
W01001849,Cardiff 004A,1794
W01001848,Cardiff 012B,1810
W01000464,Powys 011D,1154
W01001678,Newport 005D,421
W01001679,Newport 007D,1386
W01000575,Pembrokeshire 008C,1059
W01000574,Pembrokeshire 015A,982
W01000633,Carmarthenshire 021B,443
W01000407,Wrexham 016C,1554
W01000486,Powys 011G,1438
W01000487,Powys 012E,1068
W01000406,Wrexham 013C,341
W01000314,Flintshire 016B,694
W01000395,Wrexham 016B,1357
W01000317,Flintshire 016E,1909
W01000396,Wrexham 020H,1901
W01000397,Wrexham 020I,1908
W01000316,Flintshire 016D,1888
W01000028,Isle of Anglesey 001D,727
W01000029,Isle of Anglesey 003C,366
W01000315,Flintshire 016C,1149
W01000394,Wrexham 016A,1441
W01001271,Rhondda Cynon Taf 010C,410
W01001581,Monmouthshire 005E,1463
W01001680,Newport 007E,956
W01000071,Gwynedd 003B,957
W01001354,Caerphilly 014D,1275
W01001355,Caerphilly 015A,654
W01001356,Caerphilly 006A,1448
W01001357,Caerphilly 006B,1558
W01001068,The Vale of Glamorgan 009B,925
W01001069,The Vale of Glamorgan 012C,265
W01001060,The Vale of Glamorgan 015B,1844
W01001061,The Vale of Glamorgan 015C,801
W01001352,Caerphilly 007A,367
W01001353,Caerphilly 007B,420
W01000739,Swansea 014B,460
W01001249,Rhondda Cynon Taf 024A,637
W01001248,Rhondda Cynon Taf 016D,611
W01000737,Swansea 028B,1825
W01000546,Ceredigion 009F,894
W01001412,Caerphilly 017B,922
W01000345,Wrexham 018A,1444
W01000239,Denbighshire 004D,2
W01001246,Rhondda Cynon Taf 025D,1193
W01000080,Gwynedd 014C,1355
W01001397,Caerphilly 019E,1374
W01001361,Caerphilly 002B,137
W01001151,Rhondda Cynon Taf 003C,1366
W01000349,Wrexham 011A,1073
W01001650,Newport 004E,760
W01001653,Newport 002C,1627
W01001823,Cardiff 029B,1699
W01001822,Cardiff 029A,1344
W01001824,Cardiff 029C,856
W01001825,Cardiff 029D,884
W01001820,Cardiff 006A,1623
W01000234,Denbighshire 017G,192
W01000460,Powys 006B,1199
W01001775,Cardiff 021B,1486
W01000667,Carmarthenshire 023C,1043
W01000666,Carmarthenshire 017B,1173
W01000367,Wrexham 014B,1674
W01001905,Powys 018H,1434
W01000664,Carmarthenshire 016C,1077
W01000156,Conwy 004B,1482
W01000484,Powys 011E,1219
W01001622,Newport 003F,644
W01000405,Wrexham 015B,458
W01000485,Powys 011F,1380
W01000404,Wrexham 018D,1495
W01000483,Powys 009C,284
W01000402,Wrexham 011D,717
W01000873,Swansea 026C,1298
W01000875,Swansea 026D,1072
W01000872,Swansea 024E,1790
W01000877,Swansea 007E,1530
W01000874,Swansea 024F,1593
W01000876,Swansea 026E,1346
W01001394,Caerphilly 023B,1833
W01000606,Pembrokeshire 015B,85
W01001816,Cardiff 009B,582
W01001086,The Vale of Glamorgan 006A,1832
W01001667,Newport 010C,69
