lsoa11cd,lsoa11nm,ladcd,ladnm,ladnmw,wimd_2019,FID
W01000001,Aberffraw & Rhosneigr 1,W06000001,Isle of Anglesey,Ynys Môn,885,1
W01000105,Porthmadog East,W06000002,Gwynedd,Gwynedd,1141,2
W01000002,Aberffraw & Rhosneigr 2,W06000001,Isle of Anglesey,Ynys Môn,1324,3
W01000003,Amlwch Port,W06000001,Isle of Anglesey,Ynys Môn,550,4
W01000004,Amlwch Rural,W06000001,Isle of Anglesey,Ynys Môn,1100,5
W01000005,Beaumaris,W06000001,Isle of Anglesey,Ynys Môn,1065,6
W01000006,Bodffordd,W06000001,Isle of Anglesey,Ynys Môn,1116,7
W01000007,Bodorgan,W06000001,Isle of Anglesey,Ynys Môn,1036,8
W01000008,Braint,W06000001,Isle of Anglesey,Ynys Môn,1820,9
W01000009,Bryngwran,W06000001,Isle of Anglesey,Ynys Môn,819,10
W01000010,Brynteg,W06000001,Isle of Anglesey,Ynys Môn,1624,11
W01000011,Cadnant (Isle of Anglesey),W06000001,Isle of Anglesey,Ynys Môn,1377,12
W01000012,Cefni,W06000001,Isle of Anglesey,Ynys Môn,1494,13
W01000013,Cwm Cadnant,W06000001,Isle of Anglesey,Ynys Môn,1777,14
W01000014,Cyngar,W06000001,Isle of Anglesey,Ynys Môn,1194,15
W01000015,Gwyngyll,W06000001,Isle of Anglesey,Ynys Môn,1704,16
W01000016,Holyhead Town,W06000001,Isle of Anglesey,Ynys Môn,168,17
W01000017,Kingsland,W06000001,Isle of Anglesey,Ynys Môn,486,18
W01000018,Llanbadrig,W06000001,Isle of Anglesey,Ynys Môn,1145,19
W01000019,Llanbedrgoch,W06000001,Isle of Anglesey,Ynys Môn,1233,20
W01000020,Llanddyfnan,W06000001,Isle of Anglesey,Ynys Môn,1424,21
W01000021,Llaneilian,W06000001,Isle of Anglesey,Ynys Môn,1044,22
W01000022,Llanfaethlu,W06000001,Isle of Anglesey,Ynys Môn,857,23
W01000023,Llanfair-yn-Neubwll 1,W06000001,Isle of Anglesey,Ynys Môn,985,24
W01000024,Llanfair-yn-Neubwll 2,W06000001,Isle of Anglesey,Ynys Môn,1050,25
W01000025,Llanfihangel Ysgeifiog,W06000001,Isle of Anglesey,Ynys Môn,1300,26
W01000026,Llangoed,W06000001,Isle of Anglesey,Ynys Môn,946,27
W01000027,Llanidan,W06000001,Isle of Anglesey,Ynys Môn,954,28
W01000028,Llannerch-y-medd,W06000001,Isle of Anglesey,Ynys Môn,727,29
W01000029,London Road,W06000001,Isle of Anglesey,Ynys Môn,366,30
W01000030,Maeshyfryd,W06000001,Isle of Anglesey,Ynys Môn,353,31
W01000031,Mechell,W06000001,Isle of Anglesey,Ynys Môn,864,32
W01000032,Moelfre,W06000001,Isle of Anglesey,Ynys Môn,1053,33
W01000033,Morawelon,W06000001,Isle of Anglesey,Ynys Môn,224,34
W01000034,Parc a'r Mynydd,W06000001,Isle of Anglesey,Ynys Môn,1196,35
W01000035,Pentraeth,W06000001,Isle of Anglesey,Ynys Môn,1087,36
W01000036,Porthyfelin 1,W06000001,Isle of Anglesey,Ynys Môn,316,37
W01000037,Porthyfelin 2,W06000001,Isle of Anglesey,Ynys Môn,974,38
W01000038,Rhosyr,W06000001,Isle of Anglesey,Ynys Môn,764,39
W01000039,Trearddur 1,W06000001,Isle of Anglesey,Ynys Môn,1409,40
W01000040,Trearddur 2,W06000001,Isle of Anglesey,Ynys Môn,1325,41
W01000041,Tudur,W06000001,Isle of Anglesey,Ynys Môn,308,42
W01000042,Tysilio,W06000001,Isle of Anglesey,Ynys Môn,1442,43
W01000043,Valley 1,W06000001,Isle of Anglesey,Ynys Môn,915,44
W01000044,Valley 2,W06000001,Isle of Anglesey,Ynys Môn,1716,45
W01000047,Abererch,W06000002,Gwynedd,Gwynedd,1234,46
W01000048,Abermaw 1,W06000002,Gwynedd,Gwynedd,907,47
W01000049,Abermaw 2,W06000002,Gwynedd,Gwynedd,1037,48
W01000050,Arllechwedd,W06000002,Gwynedd,Gwynedd,855,49
W01000051,Bala,W06000002,Gwynedd,Gwynedd,1167,50
W01000052,Bethel & Cwm-y-Glo 1,W06000002,Gwynedd,Gwynedd,1606,51
W01000106,Porthmadog West,W06000002,Gwynedd,Gwynedd,1661,52
