lsoa11cd,lsoa11nm,MHOL_true,patients_total,MHOL_pct
E01022263,Forest of Dean 006C,637,4713,13.515807341396139
W01000003,Isle of Anglesey 001A,4052,10008,40.48760991207034
W01000007,Isle of Anglesey 009A,945,4749,19.898926089703096
W01000014,Isle of Anglesey 006C,386,7037,5.485292027852778
W01000016,Isle of Anglesey 003A,4216,20207,20.86405700994705
W01000048,Gwynedd 016A,96,4442,2.1611886537595675
W01000065,Gwynedd 009B,79,4805,1.6441207075962538
W01000076,Gwynedd 001B,0,3662,0.0
W01000092,Gwynedd 001E,760,10511,7.230520407192465
W01000093,Gwynedd 006B,1941,12383,15.67471533554066
W01000095,Gwynedd 012C,875,4690,18.65671641791045
W01000104,Gwynedd 008C,1292,7262,17.791242082071054
W01000108,Gwynedd 012D,2464,7483,32.92797006548176
W01000116,Gwynedd 017D,589,5480,10.748175182481752
W01000118,Gwynedd 007D,639,5804,11.009648518263267
W01000119,Gwynedd 004D,676,6145,11.000813669650123
W01000123,Conwy 013A,698,7556,9.237691900476444
W01000126,Conwy 009A,1124,11986,9.377607208409811
W01000130,Conwy 012C,1273,9797,12.993773604164542
W01000132,Conwy 001A,999,11821,8.451061669909484
W01000134,Conwy 015B,836,5464,15.300146412884333
W01000152,Conwy 005D,809,6935,11.665465032444123
W01000168,Conwy 002B,163,2458,6.631407648494711
W01000179,Conwy 010F,3162,15777,20.041833048108003
W01000183,Conwy 008E,899,18247,4.9268372883213685
W01000186,Conwy 001E,596,9058,6.579818944579377
W01000190,Conwy 014D,684,2276,30.052724077328648
W01000194,Denbighshire 011A,3076,14656,20.98799126637555
W01000199,Denbighshire 011C,211,5242,4.025181228538726
W01000216,Denbighshire 002D,748,28822,2.5952397474151687
W01000238,Denbighshire 006C,1576,6715,23.469843633655994
W01000240,Denbighshire 004E,2210,23127,9.555930297920181
W01000241,Denbighshire 004F,419,2066,20.280735721200386
W01000243,Denbighshire 014B,4313,13096,32.93372021991448
W01000255,Flintshire 015A,6378,15519,41.09800889232554
W01000264,Flintshire 012A,1784,26244,6.7977442463039175
W01000269,Flintshire 020A,223,2120,10.518867924528303
W01000283,Flintshire 008E,2400,14699,16.327641336145316
W01000288,Flintshire 004A,610,5549,10.992971706613805
W01000290,Flintshire 004B,1412,10434,13.532681617788
W01000304,Flintshire 003E,1977,23861,8.285486777586858
W01000308,Flintshire 020C,2136,9133,23.38771488010511
W01000309,Flintshire 019C,274,2426,11.294311624072547
W01000311,Flintshire 011A,1009,10245,9.848706686188384
W01000318,Flintshire 016F,440,9983,4.407492737654012
W01000328,Flintshire 011C,394,8032,4.905378486055777
W01000334,Flintshire 009C,2352,13753,17.101723260379554
W01000353,Wrexham 010B,69,3862,1.7866390471258418
W01000355,Wrexham 017B,246,2267,10.851345390383766
W01000361,Wrexham 019E,2292,9777,23.442773857011353
W01000364,Wrexham 006E,3053,12254,24.91431369348784
W01000377,Wrexham 004A,649,7946,8.167631512710798
W01000381,Wrexham 012A,400,3712,10.775862068965516
W01000390,Wrexham 020C,173,12600,1.373015873015873
W01000393,Wrexham 009C,5807,13384,43.38762701733413
W01000402,Wrexham 011D,2216,13360,16.58682634730539
W01000404,Wrexham 018D,2078,6631,31.337656462072083
W01000415,Wrexham 007C,397,5627,7.055269237604407
W01000449,Powys 011C,938,4730,19.830866807610995
W01000456,Powys 013C,1155,10403,11.102566567336346
W01000460,Powys 006B,428,5729,7.470762785826497
W01000461,Powys 001A,49,10674,0.45905939666479295
W01000467,Powys 010D,766,8748,8.756287151348879
W01000476,Powys 005C,308,7152,4.306487695749441
W01000480,Powys 008A,1961,13903,14.104869452636121
W01000486,Powys 011G,1282,3504,36.58675799086758
W01000487,Powys 012E,482,3292,14.641555285540706
W01000489,Powys 017A,1624,15666,10.366398570151922
W01000499,Powys 003B,524,11084,4.727535185853482
W01000506,Ceredigion 005A,950,7309,12.997674100424133
W01000511,Ceredigion 009E,754,10016,7.527955271565495
W01000531,Ceredigion 010C,688,9308,7.3914911903738725
W01000533,Ceredigion 010D,1470,10333,14.226265363398818
W01000550,Ceredigion 011G,105,3573,2.938706968933669
W01000552,Ceredigion 011D,2,3402,0.058788947677836566
W01000568,Pembrokeshire 005A,1138,14638,7.774286104659106
W01000587,Pembrokeshire 010A,1290,21830,5.9092991296381125
W01000595,Pembrokeshire 007C,1387,8896,15.591276978417264
W01000597,Pembrokeshire 002E,682,7454,9.149449959753152
W01000600,Pembrokeshire 013A,10900,22597,48.23649156967739
W01000616,Pembrokeshire 011F,786,9547,8.23295276002933
W01000619,Pembrokeshire 016B,40,7360,0.5434782608695652
W01000633,Carmarthenshire 021B,205,7222,2.8385488784270283
W01000641,Carmarthenshire 008A,1949,21771,8.9522759634376
W01000653,Carmarthenshire 023A,1089,22027,4.943932446542879
W01000654,Carmarthenshire 023B,931,18143,5.131455657829466
W01000671,Carmarthenshire 018B,546,8296,6.581485053037609
W01000676,Carmarthenshire 004A,767,9527,8.050802981001365
W01000679,Carmarthenshire 002D,104,5488,1.8950437317784257
W01000682,Carmarthenshire 005B,60,3866,1.5519917227108122
W01000692,Carmarthenshire 019C,376,4588,8.195292066259809
W01000695,Carmarthenshire 012B,137,4184,3.2743785850860423
W01000698,Carmarthenshire 015B,242,7422,3.260576663971975
W01000708,Carmarthenshire 025E,1505,7597,19.810451494010795
W01000713,Carmarthenshire 015E,518,8602,6.021855382469194
W01000714,Carmarthenshire 013D,168,10485,1.602288984263233
W01000716,Carmarthenshire 016D,538,4333,12.416339718439879
W01000720,Carmarthenshire 027B,587,7125,8.238596491228071
W01000735,Carmarthenshire 027D,281,7390,3.8024357239512856
W01000742,Swansea 016A,2338,8153,28.67656077517478
W01000745,Swansea 025B,1,4240,0.02358490566037736
W01000747,Swansea 024A,239,6062,3.9425932035631805
W01000754,Swansea 002E,813,24863,3.269919156980252
W01000767,Swansea 015E,159,5097,3.1194820482636847
W01000773,Swansea 005A,1025,11047,9.278537159409794
W01000774,Swansea 005B,863,8341,10.346481237261719
W01000775,Swansea 030A,607,6358,9.54702736709657
W01000813,Swansea 008D,807,7043,11.458185432344171
W01000821,Swansea 009E,1231,8747,14.073396593117641
W01000832,Swansea 011B,23,2139,1.0752688172043012
W01000846,Swansea 001B,324,9345,3.467094703049759
W01000850,Swansea 021B,103,5348,1.9259536275243083
W01000861,Swansea 027D,4882,31046,15.725053146943246
W01000864,Swansea 019C,119,5690,2.091388400702988
W01000869,Swansea 024C,1954,7512,26.01171458998935
W01000870,Swansea 024D,1483,9354,15.854180029933717
W01000880,Swansea 029B,455,7603,5.984479810601079
W01000883,Neath Port Talbot 016A,1169,28375,4.119823788546255
W01000897,Neath Port Talbot 013D,621,6123,10.142087212150907
W01000900,Neath Port Talbot 014C,73,5714,1.2775638781939098
W01000912,Neath Port Talbot 010A,620,8819,7.030275541444608
