,Area Codes,All Ages
0,E06000047,526980
1,E01020634,1665
2,E01020635,1364
3,E01020636,1730
4,E01020654,1830
5,E01020676,1510
6,E01020613,1351
7,E01020614,1368
8,E01020622,1582
9,E01020623,1507
10,E01020627,1480
11,E01020628,1820
12,E01020629,1652
13,E01020655,2038
14,E01020656,1533
15,E01020657,1508
16,E01020661,1994
17,E01020662,1801
18,E01020663,1852
19,E01020674,1610
20,E01020678,1331
21,E01020606,1400
22,E01020615,1720
23,E01020616,1697
24,E01020617,2326
25,E01020626,1535
26,E01020638,1594
27,E01020639,1665
28,E01020653,1547
29,E01020677,1454
30,E01020596,1664
31,E01020597,1423
32,E01020598,1725
33,E01020611,1400
34,E01020612,1583
35,E01020647,2160
36,E01020648,2434
37,E01020649,1622
38,E01020673,1547
39,E01020675,1773
40,E01020624,1545
41,E01020625,1739
42,E01020670,1549
43,E01020671,1245
44,E01020672,1702
45,E01020632,1695
46,E01020640,2296
47,E01020641,2196
48,E01020642,1347
49,E01020643,2184
50,E01020667,1535
51,E01020592,1613
52,E01020593,1201
53,E01020599,1756
54,E01020601,1481
55,E01020602,1793
56,E01020618,1841
57,E01020650,2452
58,E01020651,1686
59,E01020652,2216
60,E01020668,1386
61,E01020669,1510
62,E01020594,1635
63,E01020595,1755
64,E01020600,1497
65,E01020603,1753
66,E01020605,1740
67,E01020630,1400
68,E01020631,1629
69,E01020637,1619
70,E01020644,3514
71,E01020645,1580
72,E01020590,1258
73,E01020591,1407
74,E01020608,1812
75,E01020609,1321
76,E01020610,1462
77,E01020750,1176
78,E01020781,1117
79,E01020786,1561
80,E01020787,1776
81,E01033163,2218
82,E01033202,1169
83,E01020740,1440
84,E01020741,1246
85,E01020742,1756
86,E01020782,1290
87,E01020783,1292
88,E01020784,1617
89,E01020743,1442
90,E01020747,1279
91,E01020748,1259
92,E01020749,1338
93,E01020773,1432
94,E01020775,1711
95,E01020604,1394
96,E01020607,1728
97,E01020619,1575
98,E01020620,1628
99,E01020621,2030
