"Abercegir, Machynlleth",Abercegir Covid Support Group,Powys,W06000023,https://www.facebook.com/groups/233395261131422/,
Aberdulais ,Covid-19 Cilfrew and Aberdulais,Neath Port Talbot,W06000012,https://www.facebook.com/groups/covid19cilfrewandaberdulais/,
Abergavenny,Abergavenny Street Monitors,Monmouthshire,W06000021,https://www.facebook.com/groups/abergavennystreetmonitors/,
"Abermule , Powys, SY15 6NS ",Abermule Community Centre Outreach,Powys,W06000023,https://www.facebook.com/abermulecommunitycentre,
"Abermule, Powys, SY15 6NS",Abermule Community Centre - Outreach,Powys,W06000023,https://www.abermule.cymru,
"Aberystwyth, Ceredigion",Ceredigion Coronavirus Support,Ceredigion,W06000008,https://www.facebook.com/groups/ceredigioncoronavirussupport/,
"Alltwen, Pontardawe",Alltwen Covid-19 Community Volunteers,Neath Port Talbot,W06000012,https://www.facebook.com/groups/1098155540582789/,
"Ammanford, South Wales",Amman Valley Support for CoronaVirus,Carmarthenshire,W06000010,https://www.facebook.com/groups/342905956650233/,
Amroth Ward (Pembrokeshire),Amroth and District Good Neighbours,Pembrokeshire,W06000009,http://amrothgoodneighbours.wales,
Anglesey,Covid 19 Mutual Aid Môn,Isle of Anglesey,W06000001,https://www.facebook.com/groups/205528177434085/,
"Bala, Gwynedd",Yr Ymateb Cymuned Penllyn Community Response,Gwynedd,W06000002,https://www.facebook.com/groups/penllynresponse/,
"Bargoed, cf81 ",Bargoed Coronavirus Community Help,Caerphilly,W06000018,https://www.facebook.com/groups/813269219172008/,
"Barry Waterfront development, Barry South Wales ",Barry Waterfront covid19 Community Support ,Vale of Glamorgan,W06000014,https://m.facebook.com/groups/2476088765987098,
"Barry, Wales",Barry Community COVID-19 news and assistance,Vale of Glamorgan,W06000014,https://www.facebook.com/groups/barrycommunitycovid19/,
"Beaumaris, Anglesey, North Wales",Cynllun Tro Da Seiriol Good Turn Scheme,Isle of Anglesey,W06000001,http://www.facebook.com/trodaseiriolgoodturn/,
"Berriew, Powys",Berriew Support,Powys,W06000023,https://www.facebook.com/groups/berriewsupport/,
"Blaenavon, Pontypool, UK",Blaenavon Coronovirus Help Group,Torfaen,W06000020,http://www.facebook.com/groups/561669131115526/,
Brecon,Coronavirus Brecon and surrounding areas support group  ,Powys,W06000023,https://www.facebook.com/groups/546009316119695/,
Bridgend,Stay Connected Telephone Befriending Network,Bridgend,W06000013,https://www.facebook.com/mhmwales,
"Bridgend CF31, UK",Bridgend Association of Voluntary Organisations,Bridgend,W06000013,https://www.facebook.com/bavohub/,
"Brooks, Berriew, Welshpool, Powys",Brooks Coronavirus Support,Powys,W06000023,https://www.facebook.com/groups/brookscommunity/,
Bryncoch,Covid-19 Bryncoch and Caewern ,Neath Port Talbot,W06000012,https://www.facebook.com/groups/2540308379517021/,
"Bwlchnewydd, Carmarthenshire",Mutual Aid Bwlchnewydd Area,Carmarthenshire,W06000010,https://www.facebook.com/groups/656480578228425/,
"Cae Gwastad, Harlech LL46 2GY, UK",Help Harlech,Gwynedd,W06000002,https://www.facebook.com/helpharlech/,
Caerphilly,Caerphilly Coronavirus Support,Caerphilly,W06000018,https://www.facebook.com/groups/920287805036004/,
Caersws Powys ,Caersws & Local Villages Covid 19 Support Group,Powys,W06000023,https://www.facebook.com/groups/870195643393182/,
"Caerwent, Caldicot",Caerwent Community Support Group-COVID19,Monmouthshire,W06000021,https://www.faceboook.com/groups/caerwentcovid19,
"Camarthen, Tenby, Pembrokeshire ",Carms west & South Pembrokeshire Covid 19 Support group,Pembrokeshire,W06000009,https://www.facebook.com/groups/231551228021854/,
"Canton, Cardiff",Canton Covid-19 mutual aid group,Cardiff,W06000015,https://www.facebook.com/groups/2532290837040130/,
Cardiff,Cardiff Covid-19 Mutual Aid,Cardiff,W06000015,https://www.facebook.com/groups/798456330650652,
Cardiff,Penylan / Cyncoed Covid-19 Mutual Aid Group,Cardiff,W06000015,https://www.facebook.com/groups/685229805549686/,
Cardiff,Cardiff Area Corona Support,Cardiff,W06000015,https://www.facebook.com/groups/190344125596745/,
Cardiff,Newfoundland Road Cardiff,Cardiff,W06000015,https://www.facebook.com/groups/202098517691472/,
Cardiff,Butetown and Bay Covid Mutual Aid,Cardiff,W06000015,https://www.facebook.com/groups/635718133658805/,
Cardiff - Penylan,Penylan Covid-19 Community Support,Cardiff,W06000015,https://www.facebook.com/groups/207574297320020/,
Cardiff - Roath/ Cathays/ Gabalfa/ Heath,Roath/ Cathays/ Gabalfa/ Heath COVID-19 Area Group,Cardiff,W06000015,https://m.facebook.com/groups/251990475816496,
Cardiff and Vale of Glamorgan ,Community Payback,Cardiff,W06000015,https://www.wales.probationservices.co.uk,
Cardiff Marina,Victoria Wharf Volunteers,Cardiff,W06000015,https://www.facebook.com/groups/victoriawharfcardiff,
Cardiff West,Ely and Caerau Covid-19 Support,Cardiff,W06000015,https://www.facebook.com/groups/1036654390037535,
"Cardiff, UK",Corona Virus - South Wales Resilience Group ,Cardiff,W06000015,https://www.facebook.com/groups/southwalescommunity/,
"Cardiff, Wales",Cardiff Covid-19 Mutual Aid Network,Cardiff,W06000015,https://www.facebook.com/groups/505064553776232/,
Cardigan,Cardigan - Corona Virus Help,Ceredigion,W06000008,https://m.facebook.com/groups/496385217937980,
Carmarthenshire,Grwp Cyd-Cymorth Sir Gar | Sir Gar Mutual Aid Group,Carmarthenshire,W06000010,https://www.facebook.com/groups/221955192513263/,
Carmarthenshire ,Carmarthenshire covid-19 support group,Carmarthenshire,W06000010,https://m.facebook.com/groups/827580067719862/,
Ceredigion,Ceredigion Coronavirus Support,Ceredigion,W06000008,https://www.facebook.com/groups/ceredigioncoronavirussupport/,
CF71 7DP,St Hilary (Wales) Community Coronavirus Support,Vale of Glamorgan,W06000014,http://www.sthilary.org.uk/,
Chepstow,Chepstow Covid 19 helping group ,Monmouthshire,W06000021,https://www.facebook.com/groups/543155922970484/,
"Chirk, Wrexham",Chirk Coronavirus Support,Wrexham,W06000006,https://www.facebook.com/chirkcoronavirussupport/,
Cimla,Cimla Covid-19 Support Group,Neath Port Talbot,W06000012,https://m.facebook.com/groups/198095591510088,
Colwyn Bay,Colwyn Bay Covid-19 Action Network,Conwy,W06000003,https://www.facebook.com/groups/2505072983068360/,
"Cwmbran, UK",Councillor Elizabeth Haynes ,Torfaen,W06000020,https://m.facebook.com/groups/692362157447373,
"Cwmbran, UK",Greenmeadow/fairwater covid-19 group,Torfaen,W06000020,https://www.facebook.com/greenmeadow/fairwatercovid-19groupduscusdion,
"Deiniolen, Gwynedd",Grŵp Cymorth Covid-19 Aid Group - Ardal Deiniolen Area,Gwynedd,W06000002,https://www.facebook.com/groups/2746564232063847/,
"Deri, Caerphilly, South Wales",Deri and Groesfaen Good Neighbours Group,Caerphilly,W06000018,https://www.facebook.com/groups/206853197314591/,
Devauden Monmouthsire,Devauden Coronavirus Support Group,Monmouthshire,W06000021,http://www.devauden.org.uk/covid-19.html,
Dinas Mawddwy & Dolgellau,Cymorth Corona Ardal Dolgellau a Dinas Mawddwy Corona Help Group,Gwynedd,W06000002,https://www.facebook.com/groups/191075669001543/,
Dolwyddelan ,Dolwyddelan Covid-19 Mutual Aid Volunteers,Conwy,W06000003,https://www.dolwyddelancc.org.uk/en/home.html,
"Dulais Valley, Neath, South Wales, Uk",Dulais Valley covid 19 support group,Neath Port Talbot,W06000012,https://m.facebook.com/groups/566248827431071,
Dyffryn ARDUDWY  LL442DH ,Plan C Dyffryn Ardudwy + Talybont,Gwynedd,W06000002,https://www.facebook.com/groups/252338849118563/,
"Ebbw Vale, Blaenau Gwent",Ebbw Vale Covid-19 Mutual Aid,Blaenau Gwent,W06000019,https://www.facebook.com/groups/568907553718792/,
Efail Isaf,Efail Isaf Covid-19 support network ,Rhondda Cynon Taf,W06000016,https://www.facebook.com/groups/235868693655644/,
Fishguard ,Mutual Aid Fishguard ,Pembrokeshire,W06000009,https://www.facebook.com/groups/874344719674197/,
Flintshire ,Flintshire corona virus,Flintshire,W06000005,https://www.facebook.com/groups/1188575248200787/,
Flintshire ,Trelogan,Flintshire,W06000005,https://m.facebook.com/groups/101100653311817,
Flintshire North Wales,Covid 19 Mutual aid Flintshire,Flintshire,W06000005,https://www.facebook.com/groups/194046398591017/,
