"Abercegir, Machynlleth",Abercegir Covid Support Group,Powys,W06000023,https://www.facebook.com/groups/233395261131422,
"Alltwen, Pontardawe ",Alltwen Covid19 Community Volunteers ,Neath Port Talbot,W06000012,https://www.facebook.com/groups/1098155540582789/,
Anglesey,Covid 19 Mutual Aid Môn,Isle of Anglesey,W06000001,https://www.facebook.com/groups/205528177434085/?ref=share,
"Barry Waterfront development, Barry South Wales ",Barry Waterfront covid19 Community Support ,Vale of Glamorgan,W06000014,https://m.facebook.com/groups/2476088765987098?view=info&ref=m_notif&notif_t=feedback_reaction_generic,
"Barry, Wales",Barry Community COVID-19 news and assistance,Vale of Glamorgan,W06000014,https://www.facebook.com/groups/BarryCommunityCOVID19,
Brecon,Coronavirus Brecon and surrounding areas support group,Powys,W06000023,https://www.facebook.com/groups/546009316119695,
"Brooks, Berriew, Welshpool, Powys",Brooks Coronavirus Support,Powys,W06000023,https://www.facebook.com/groups/brookscommunity/,
Caerphilly,Caerphilly Coronavirus Support,Caerphilly,W06000018,https://www.facebook.com/groups/920287805036004/,
"Camarthen, Tenby, Pembrokeshire",Carmarthen & South Pembrokeshire,Carmarthenshire,W06000010,https://www.facebook.com/groups/231551228021854,
"Camarthen, Tenby, Pembrokeshire ",Carmarthen & South Pembrokeshire ,Pembrokeshire,W06000009,https://www.facebook.com/groups/231551228021854/?ref=share,
Cardiff,Cardiff Covid-19 Mutual Aid,Cardiff,W06000015,https://www.facebook.com/groups/798456330650652,
Cardiff,Roath/ Cathays/ Gabalfa/ Heath COVID-19 Area Group,Cardiff,W06000015,https://www.facebook.com/groups/251990475816496,
Cardiff,Penylan / Cyncoed Covid-19 Mutual Aid Group,Cardiff,W06000015,https://www.facebook.com/groups/685229805549686/,
Cardiff,Cardiff Area Corona Support,Cardiff,W06000015,https://www.facebook.com/groups/190344125596745/,
Cardiff,Newfoundland Road Cardiff,Cardiff,W06000015,https://www.facebook.com/groups/202098517691472/,
Cardiff Marina,Victoria Wharf Volunteers,Cardiff,W06000015,https://www.facebook.com/groups/victoriawharfcardiff,
Cardiff West,Ely and Caerau Covid-19 Support,Cardiff,W06000015,https://www.facebook.com/groups/1036654390037535,
"Cardiff, Wales",Cardif Covid-19 Mutual Aid Network,Cardiff,W06000015,https://www.facebook.com/groups/505064553776232,
Carmarthenshire,Grwp Cyd-Cymorth Sir Gar | Sir Gar Mutual Aid Group,Carmarthenshire,W06000010,https://www.facebook.com/groups/221955192513263/,
Carmarthenshire ,Carmarthenshire covid-19 support group,Carmarthenshire,W06000010,https://m.facebook.com/groups/827580067719862/,
Ceredigion,Ceredigion Coronavirus Support,Ceredigion,W06000008,https://www.facebook.com/groups/CeredigionCoronavirusSupport/,
"Chirk, Wrexham",Chirk Coronavirus Support,Wrexham,W06000006,https://www.facebook.com/ChirkCoronavirusSupport/,
Cimla,Cimla Covid-19 Support Group,Neath Port Talbot,W06000012,https://m.facebook.com/groups/198095591510088?tsid=0.3603471496901902&source=result,
Colwyn Bay,Colwyn Bay Covid-19 Action Network,Conwy,W06000003,https://www.facebook.com/groups/2505072983068360/,
"Deiniolen, Gwynedd",Grŵp Cymorth Covid-19 Aid Group - Ardal Deiniolen Area,Gwynedd,W06000002,https://www.facebook.com/groups/2746564232063847/,
"Deri, Caerphilly, South Wales",Deri and Groesfaen Good Neighbours Group,Caerphilly,W06000018,https://www.facebook.com/groups/206853197314591/?ref=group_header,
"Dulais Valley, Neath, South Wales, Uk",Dulais Valley covid 19 support group,Neath Port Talbot,W06000012,https://m.facebook.com/groups/566248827431071?multi_permalinks=566921334030487&comment_id=566932344029386&notif_t=feedback_reaction_generic&notif_id=1584380328525425&ref=m_notif,
"Ebbw Vale, Blaenau Gwent",Ebbw Vale Covid-19 Mutual Aid,Blaenau Gwent,W06000019,https://www.facebook.com/groups/568907553718792/,
Flintshire ,Flintshire corona virus,Flintshire,W06000005,https://www.facebook.com/groups/1188575248200787/?ref=share,
Flintshire North Wales,Covid 19 Mutual aid Flintshire,Flintshire,W06000005,https://www.facebook.com/groups/194046398591017/,
"Goodwick, Pembrokeshire",Goodwick Mutual Aid Group,Pembrokeshire,W06000009,https://www.facebook.com/groups/249992116163040/,
"Gower, Swansea ",We are Gower COVID-19 Mutual Aid & Community Page ,Swansea,W06000011,https://www.facebook.com/groups/509317506645726/?source=unknown,
"Hope, Caergwrle, Abermorddu, Cefn y Bedd, Flintshire ",Hope-Caergwrle-Abermorddu-Cefn y Bedd Mutual Aid Group,Flintshire,W06000005,https://www.facebook.com/groups/2425022358/,
"Keeston, Pembrokeshire",Keeston Mutual Aid Group,Pembrokeshire,W06000009,https://www.facebook.com/groups/236700560819521/,
Lampeter,Lampeter Corona Virus Support Group COVID 19,Ceredigion,W06000008,https://www.facebook.com/groups/710463783094284/,
LD8 2NW,Discoed Covid-19 support group,Powys,W06000023,https://www.facebook.com/groups/832092763952188/,
Llanbrynmair ,Llanbrynmair Corona community response group,Powys,W06000023,https://www.facebook.com/groups/1249103548633011/,
Llandaff,Llandaff Covid-19 Assistance,Cardiff,W06000015,https://www.facebook.com/groups/235091941000376/about/,
