Ebbw Vale Covid-19 Mutual Aid,"Ebbw Vale, Blaenau Gwent",Blaenau Gwent,,,,https://www.facebook.com/groups/568907553718792/
Pencoed Coronavirus Support Group,"Pencoed, South Wales CF35 ",Bridgend,,,,https://www.facebook.com/groups/894214391009594/about/
Porthcawl Covid 19 Strategy ,Porthcawl,Bridgend,,,,https://porthcawlc19s.weebly.com
Porthcawl COVID 19 Strategy Group,Porthcawl,Bridgend,DELETE,,Duplicate, https://porthcawlc19s.weebly.com
Caerphilly Coronavirus Support,Caerphilly,Caerphilly,,,,https://www.facebook.com/groups/920287805036004/
Deri and Groesfaen Good Neighbours Group,"Deri, Caerphilly, South Wales",Caerphilly,,,,https://www.facebook.com/groups/206853197314591/?ref=group_header
PENPEDAIRHEOL COVID-19 SELF ISOLATION HELP FOR THE VULNERABLE ,Penpedairheol South Wales ,Caerphilly,,,,https://www.facebook.com/groups/577390389529582/?ref=share
Bargoed Coronavirus Community Help,"Bargoed, cf81 ",Caerphilly,,,,https://www.facebook.com/groups/813269219172008/
The BMMR Parish Trust CARE Project,"Trethomas, Caerphilly CF83 8FL, UK",Caerphilly,,,,https://bmmr.church/coronavirus
Cardiff Covid-19 Mutual Aid,Cardiff,Cardiff,,,,https://www.facebook.com/groups/798456330650652
Roath/ Cathays/ Gabalfa/ Heath COVID-19 Area Group,Cardiff,Cardiff,,,,https://www.facebook.com/groups/251990475816496
Penylan / Cyncoed Covid-19 Mutual Aid Group,Cardiff,Cardiff,,,,https://www.facebook.com/groups/685229805549686/
Cardiff Area Corona Support,Cardiff,Cardiff,,,,https://www.facebook.com/groups/190344125596745/
Newfoundland Road Cardiff,Cardiff,Cardiff,,,,https://www.facebook.com/groups/202098517691472/
Victoria Wharf Volunteers,Cardiff Marina,Cardiff,,,,https://www.facebook.com/groups/victoriawharfcardiff
Ely and Caerau Covid-19 Support,Cardiff West,Cardiff,,,,https://www.facebook.com/groups/1036654390037535
Cardif Covid-19 Mutual Aid Network,"Cardiff, Wales",Cardiff,DELETE,,Duplicate,https://www.facebook.com/groups/505064553776232
Cardiff Covid-19 Mutual Aid Network,"Cardiff, Wales",Cardiff,,,,https://www.facebook.com/groups/505064553776232/ 
Llandaff Covid-19 Assistance,Llandaff,Cardiff,,,,https://www.facebook.com/groups/235091941000376/about/
Riverside Covid-19 Mutual Aid Group,"Riverside, Cardiff",Cardiff,,,,https://www.facebook.com/groups/516781909027928/
Splott/ Adamsdown Covid 19 Mutual Aid ,Splott/ Adamsdown (Cardiff),Cardiff,,,,https://www.facebook.com/groups/633534294092813/?multi_permalinks=633961207383455%2C633944587385117%2C633660087413567%2C633603540752555&notif_id=1584293608051098&notif_t=group_activity
Canton Covid-19 mutual aid group,"Canton, Cardiff",Cardiff,,,,https://www.facebook.com/groups/2532290837040130/
Melbourne & Georgian Mutual Aid Group,CF14 5NH ,Cardiff,,,,https://www.facebook.com/groups/2473944462936303/
Penylan Covid-19 Community Support,Cardiff - Penylan,Cardiff,,,,https://www.facebook.com/groups/207574297320020/?ref=share
Thornhill Covid-19 - Mutual Aid,"Thornhill, Cardiff CF14",Cardiff,,,,https://www.facebook.com/groups/597715667480516/
Tremorfa / Pengam Green COVID-19 Mutual Aid Group,Tremorfa & Pengam Green (Cardiff),Cardiff,,,,https://www.facebook.com/groups/TremorfaPengamGreen/
Hannah llewellyn,Cardiff,Cardiff,,,,https://www.google.com/url?q=https://www.facebook.com/groups/151925132663139/&sa=D&ust=1584867516516000&usg=AFQjCNGvnLwdDCPjE9AZPVGml6AQqXR5rg
Community Payback,Cardiff and Vale of Glamorgan ,Cardiff,SPLIT,Vale of Glamorgan,2 counties,https://www.wales.probationservices.co.uk
Butetown and Bay Covid Mutual Aid,Cardiff,Cardiff,,,,https://www.facebook.com/groups/635718133658805/
Grangetown Community Volunteers,"Merches Gardens, Cardiff CF11 6RE, UK",Cardiff,,,,www.grangetowncardiff.co.uk
Corona Virus - South Wales Resilience Group ,"Cardiff, UK",Cardiff,,,,https://www.facebook.com/groups/SouthWalesCommunity/
Carmarthen & South Pembrokeshire,"Camarthen, Tenby, Pembrokeshire",Carmarthenshire,,,,https://www.facebook.com/groups/231551228021854
Grwp Cyd-Cymorth Sir Gar | Sir Gar Mutual Aid Group,Carmarthenshire,Carmarthenshire,,,,https://www.facebook.com/groups/221955192513263/
Carmarthenshire covid-19 support group,Carmarthenshire ,Carmarthenshire,,,,https://m.facebook.com/groups/827580067719862/
Coronavirus Llanelli Support ,Llanelli ,Carmarthenshire,,,,https://www.facebook.com/groups/299913577639565/?ref=share
pontyates noticeboard,Pontyates Carmarthenshire Wales,Carmarthenshire,,,,https://www.facebook.com/groups/PontyatesHelp/?multi_permalinks=501782373831240&notif_id=1584732326351204&notif_t=group_activity
Amman Valley Support for CoronaVirus,"Ammanford, South Wales",Carmarthenshire,,,,https://www.facebook.com/groups/342905956650233/
Llandeilo Covid-19 Community Support Group,Llandeilo,Carmarthenshire,,,,https://www.facebook.com/groups/196451478462428/
Mutual Aid Bwlchnewydd Area,"Bwlchnewydd, Carmarthenshire",Carmarthenshire,,,,https://www.facebook.com/groups/656480578228425/
Cymorth/Help Coronavirus Rhydargaeau,Rhydargaeau. Carmarthenshire,Carmarthenshire,,,,https://www.facebook.com/groups/1059737241056360/
Cymorth Coronavirus Peniel,"Peniel, Carmarthenshire",Carmarthenshire,,,,https://www.facebook.com/groups/1541237276042265/
Crisial Davies,"Kidwelly, UK",Carmarthenshire,,,,https://m.facebook.com/groups/2308489282784675?tsid=0.6280389786325369&source=result
Ceredigion Coronavirus Support,Ceredigion,Ceredigion,,,,https://www.facebook.com/groups/CeredigionCoronavirusSupport/
Lampeter Corona Virus Support Group COVID 19,Lampeter,Ceredigion,,,,https://www.facebook.com/groups/710463783094284/
Cardigan - Corona Virus Help,Cardigan,Ceredigion,,,,https://m.facebook.com/groups/496385217937980
Llanrhystud Corona Virus Support,Llanrhystud Ceredigion,Ceredigion,,,,https://www.facebook.com/groups/2756775227769091/?ref=share
Colwyn Bay Covid-19 Action Network,Colwyn Bay,Conwy,,,,https://www.facebook.com/groups/2505072983068360/
GrÅµp Cefnogi Penmachno Support Group (coronavirus),Penmachno,Conwy,,,,https://www.facebook.com/groups/penmachno.coronavirus/
Happy Helpers,"Penmaenmawr, Dwygyfylchi & Llanfairfechan, ",Conwy,,,,https://www.facebook.com/groups/201798667713015/
Ty'n-y-Groes COVID-19 Support Group,Ty'n-y-Groes,Conwy,,,,https://www.facebook.com/groups/503484756992228
Llandudno Covid-19 Action Network,Llandudno,Conwy,,,,https://www.facebook.com/groups/227054078418261/members/
Covid 19 support Ewloe Hawarden and surrounding areas ,North Wales ,Conwy,CHANGE,Flintshire,Wrong county,https://m.facebook.com/groups/234086787726824?view=info&ref=group_browse
Dolwyddelan Covid-19 Mutual Aid Volunteers,Dolwyddelan ,Conwy,,,,https://www.dolwyddelancc.org.uk/en/home.html
Covid-19 Community Response - Prestatyn,Prestatyn,Denbighshire,,,,https://www.facebook.com/groups/2716349328462604/?ref=share
Prestatyn and Rhyl Covid-19 Mutual Aid Group,Prestatyn and Rhyl,Denbighshire,,,,https://www.facebook.com/100004856688012/posts/1367828646722345
Covid 19 Bruton Park& surrounding areas community support group ,"Rhyl, Denbighshire ",Denbighshire,,,,https://www.facebook.com/search/top/?q=covid%2019%20bruton%20park%20%26%20surrounding%20areas%20community%20support%20group
Flintshire corona virus,Flintshire ,Flintshire,,,,https://www.facebook.com/groups/1188575248200787/?ref=share
Covid 19 Mutual aid Flintshire,Flintshire North Wales,Flintshire,,,,https://www.facebook.com/groups/194046398591017/
Hope-Caergwrle-Abermorddu-Cefn y Bedd Mutual Aid Group,"Hope, Caergwrle, Abermorddu, Cefn y Bedd, Flintshire ",Flintshire,,,,https://www.facebook.com/groups/2425022358/
Trelogan,Flintshire ,Flintshire,,,,https://m.facebook.com/groups/101100653311817?tsid=0.33753966882621234&source=result
