areaID,communityCohesion,deprivation_30
W06000019,3.967901235,64
W06000013,4.11954023,40
W06000018,3.960655738,38
W06000015,3.989563567,35
W06000010,4.009724473,27
W06000008,4.095652174,7
W06000003,4.156171285,20
W06000004,4.11898017,22
W06000005,4.042016807,20
W06000002,4.235988201,8
W06000001,4.074433657,18
W06000024,4.151898734,50
W06000021,4.206165703,5
W06000012,4.184381779,45
W06000022,3.875464684,40
W06000009,4.061926606,15
W06000023,4.155890805,11
W06000016,4.03515625,45
W06000011,3.905183312,31
W06000020,3.914746544,42
W06000014,4.064377682,19
W06000006,3.880597015,28
