areaName,areaID,covid_per100k
Blaenau Gwent,W06000019,221
Bridgend,W06000013,131
Caerphilly,W06000018,298
Cardiff,W06000015,254
Carmarthenshire,W06000010,121
Ceredigion,W06000008,36
Conwy,W06000003,37
Denbighshire,W06000004,86
Flintshire,W06000005,63
Gwynedd,W06000002,36
Isle of Anglesey,W06000001,33
Merthyr Tydfil,W06000024,182
Monmouthshire,W06000021,265
Neath Port Talbot,W06000012,153
Newport,W06000022,326
Pembrokeshire,W06000009,70
Powys,W06000023,54
Rhondda Cynon Taf,W06000016,207
Swansea,W06000011,185
Torfaen,W06000020,335
Vale of Glamorgan,W06000014,214
Wrexham,W06000006,58
