"","","","","","All ages ","","","All ages "
"","","","","","Aged 0 to 15 ","Aged 16 to 64 ","Aged 65 and over ","."
"Total Welsh local authorities ","","","","",562709,1923929,651993,3138631
"Total Welsh local authorities ","Isle of Anglesey ","","","",12055,39914,17992,69961
"","Isle of Anglesey ","Isle of Anglesey U001 ","","",6247,19677,7941,33865
"","","Isle of Anglesey U001 ","Isle of Anglesey 001 ","",1492,4966,2217,8675
"","","","Isle of Anglesey 001 ","Amlwch Port ",465,1548,598,2611
"","","","","Amlwch Rural ",188,660,409,1257
"","","","","Llanbadrig ",201,655,372,1228
"","","","","Llannerch-y-medd ",417,1213,416,2046
"","","","","Mechell ",221,890,422,1533
"","","","Isle of Anglesey 003 ","",2251,6454,1953,10658
"","","","Isle of Anglesey 003 ","Holyhead Town ",250,857,176,1283
"","","","","Kingsland ",362,1052,263,1677
"","","","","London Road ",354,868,277,1499
"","","","","Maeshyfryd ",508,1370,453,2331
"","","","","Morawelon ",364,882,330,1576
"","","","","Porthyfelin 1 ",205,736,165,1106
"","","","","Porthyfelin 2 ",208,689,289,1186
"","","","Isle of Anglesey 004 ","",1065,3965,2246,7276
"","","","Isle of Anglesey 004 ","Llanfaethlu ",230,912,438,1580
"","","","","Parc a'r Mynydd ",234,668,304,1206
"","","","","Trearddur 1 ",109,493,362,964
"","","","","Trearddur 2 ",96,589,433,1118
"","","","","Valley 1 ",235,694,338,1267
"","","","","Valley 2 ",161,609,371,1141
"","","","Isle of Anglesey 007 ","",1439,4292,1525,7256
"","","","Isle of Anglesey 007 ","Aberffraw & Rhosneigr 1 ",144,563,360,1067
"","","","","Aberffraw & Rhosneigr 2 ",219,703,319,1241
"","","","","Bryngwran ",389,1136,435,1960
"","","","","Llanfair-yn-Neubwll 1 ",301,936,302,1539
"","","","","Llanfair-yn-Neubwll 2 ",386,954,109,1449
"","","Isle of Anglesey U002 ","","",5808,20237,10051,36096
"","","Isle of Anglesey U002 ","Isle of Anglesey 002 ","",881,3415,2135,6431
"","","","Isle of Anglesey 002 ","Brynteg ",236,942,726,1904
"","","","","Llanddyfnan ",172,758,407,1337
"","","","","Llaneilian ",340,1226,658,2224
"","","","","Moelfre ",133,489,344,966
"","","","Isle of Anglesey 005 ","",1230,4515,2772,8517
"","","","Isle of Anglesey 005 ","Beaumaris ",253,898,634,1785
"","","","","Cwm Cadnant ",368,1256,678,2302
"","","","","Llanbedrgoch ",146,732,560,1438
"","","","","Llangoed ",147,587,424,1158
"","","","","Pentraeth ",316,1042,476,1834
"","","","Isle of Anglesey 006 ","",1412,4044,1501,6957
"","","","Isle of Anglesey 006 ","Bodffordd ",230,940,422,1592
"","","","","Cefni ",306,850,418,1574
"","","","","Cyngar ",425,1319,400,2144
"","","","","Tudur ",451,935,261,1647
"","","","Isle of Anglesey 008 ","",993,3651,1634,6278
"","","","Isle of Anglesey 008 ","Braint ",236,831,426,1493
"","","","","Cadnant (Isle of Anglesey) ",118,673,309,1100
"","","","","Gwyngyll ",234,790,482,1506
"","","","","Tysilio ",405,1357,417,2179
"","","","Isle of Anglesey 009 ","",1292,4612,2009,7913
"","","","Isle of Anglesey 009 ","Bodorgan ",254,985,499,1738
"","","","","Llanfihangel Ysgeifiog ",376,1284,436,2096
"","","","","Llanidan ",337,1106,427,1870
"","","","","Rhosyr ",325,1237,647,2209
"","Gwynedd ","","","",20851,75156,28171,124178
"","Gwynedd ","Gwynedd U001 ","","",5549,23450,5000,33999
"","","Gwynedd U001 ","Gwynedd 001 ","",895,8392,778,10065
"","","","Gwynedd 001 ","Deiniol ",127,2271,103,2501
"","","","","Hirael & Garth 1 ",152,833,203,1188
"","","","","Hirael & Garth 2 ",215,1156,166,1537
"","","","","Marchog 2 ",322,757,144,1223
"","","","","Menai (Bangor) ",79,3375,162,3616
"","","","Gwynedd 002 ","",1675,5229,1333,8237
"","","","Gwynedd 002 ","Dewi ",466,1191,269,1926
"","","","","Glyder ",360,1241,350,1951
"","","","","Hendre (Gwynedd) ",227,1077,201,1505
"","","","","Marchog 1 ",362,877,188,1427
"","","","","Pentir 1 ",260,843,325,1428
"","","","Gwynedd 003 ","",1677,5253,1539,8469
"","","","Gwynedd 003 ","Arllechwedd ",277,823,296,1396
"","","","","Gerlan ",463,1493,346,2302
"","","","","Ogwen 1 ",307,802,247,1356
"","","","","Ogwen 2 ",236,768,233,1237
"","","","","Tregarth & Mynydd Llandygai ",394,1367,417,2178
"","","","Gwynedd 005 ","",1302,4576,1350,7228
"","","","Gwynedd 005 ","Deiniolen ",435,1325,358,2118
"","","","","Llanberis ",334,1333,430,2097
"","","","","Penisarwaun ",335,1094,327,1756
"","","","","Pentir 2 ",198,824,235,1257
"","","Gwynedd U002 ","","",5653,17754,6320,29727
"","","Gwynedd U002 ","Gwynedd 004 ","",1242,4185,1368,6795
"","","","Gwynedd 004 ","Bethel & Cwm-y-Glo 1 ",223,706,268,1197
"","","","","Bethel & Cwm-y-Glo 2 ",202,783,229,1214
"","","","","Llanrug ",429,1134,390,1953
"","","","","Y Felinheli ",388,1562,481,2431
"","","","Gwynedd 006 ","",1705,4970,1725,8400
"","","","Gwynedd 006 ","Cadnant (Gwynedd) ",382,1210,476,2068
"","","","","Menai (Caernarfon) ",322,1371,648,2341
"","","","","Peblig (Caernarfon) ",709,1523,315,2547
"","","","","Seiont 1 ",292,866,286,1444
"","","","Gwynedd 007 ","",1236,3956,1456,6648
"","","","Gwynedd 007 ","Bontnewydd ",192,687,259,1138
"","","","","Llanwnda ",443,1193,469,2105
"","","","","Seiont 2 ",247,1032,398,1677
"","","","","Waunfawr ",354,1044,330,1728
"","","","Gwynedd 008 ","",1470,4643,1771,7884
"","","","Gwynedd 008 ","Groeslon ",276,991,424,1691
"","","","","Llanllyfni & Clynnog ",432,1339,514,2285
"","","","","Penygroes (Gwynedd) ",369,1080,443,1892
"","","","","Talysarn ",393,1233,390,2016
"","","Gwynedd U003 ","","",5018,18167,9081,32266
"","","Gwynedd U003 ","Gwynedd 009 ","",1161,3896,1427,6484
"","","","Gwynedd 009 ","Bowydd and Rhiw ",409,1167,331,1907
"","","","","Diffwys and Maenofferen ",186,711,270,1167
"","","","","Teigl ",362,1120,421,1903
"","","","","Trawsfynydd ",204,898,405,1507
"","","","Gwynedd 013 ","",846,3178,1880,5904
"","","","Gwynedd 013 ","Dyffryn Ardudwy ",208,771,555,1534
"","","","","Harlech ",201,1037,629,1867
"","","","","Llanbedr ",119,507,389,1015
"","","","","Penrhyndeudraeth 2 ",318,863,307,1488
"","","","Gwynedd 015 ","",1054,3555,1331,5940
"","","","Gwynedd 015 ","Bala ",377,1229,488,2094
"","","","","Corris/Mawddwy ",195,784,326,1305
"","","","","Llandderfel & Llanuwchllyn 1 ",212,715,235,1162
"","","","","Llandderfel & Llanuwchllyn 2 ",270,827,282,1379
"","","","Gwynedd 016 ","",979,3711,1819,6509
"","","","Gwynedd 016 ","Abermaw 1 ",227,738,402,1367
"","","","","Abermaw 2 ",160,661,253,1074
