LA Name,LA Code,QS113: One person household: Total %,KS301: Day-to-day activities limited a lot %,LC3304: Provides unpaid care age 65+: Total %
Swansea 025H,W01001958,59.7,11.2,1.6
Swansea 025G,W01001957,47.9,14.8,2.5
Swansea 023E,W01001956,34.4,5.9,2.5
Swansea 025F,W01001955,77,24.4,2
Cardiff 006F,W01001954,29.4,9.2,3.6
Cardiff 005G,W01001953,34.1,13.7,2.1
Cardiff 049F,W01001952,43.5,9.8,0.4
Cardiff 049E,W01001951,42,4.1,0.3
Cardiff 049D,W01001950,44,4.3,1.4
Cardiff 005F,W01001949,41.6,8,1
Cardiff 006E,W01001948,17.3,2.7,0.9
Cardiff 048E,W01001947,47.7,1.7,0.1
Cardiff 049C,W01001946,50.4,10.8,1
Cardiff 048D,W01001945,54.1,2.1,0.2
Cardiff 048C,W01001944,40.7,1.7,0.2
Cardiff 048B,W01001943,47.9,2.5,0.5
Cardiff 049B,W01001942,47.4,13.8,1
Cardiff 032G,W01001941,54.3,2.2,0.2
Cardiff 048A,W01001940,57.1,2.7,0.1
Cardiff 032F,W01001939,57.1,2.7,0.5
Swansea 025E,W01001938,64.1,9.1,2.1
Ceredigion 001F,W01001937,34.5,9.3,4
Ceredigion 003F,W01001936,26.2,3.5,1.4
Ceredigion 003E,W01001935,34.1,5.8,0.9
Ceredigion 002F,W01001934,41.8,5.1,1.5
Gwynedd 017F,W01001933,40.9,9.9,4.8
Gwynedd 014E,W01001932,33.3,7.8,2.9
Wrexham 012G,W01001931,39.9,11.2,1.5
Wrexham 019F,W01001930,27.5,9.5,2.6
Wrexham 012F,W01001929,36.4,9.6,1.2
Conwy 010H,W01001928,44.2,24.1,5.2
Conwy 010G,W01001927,25.9,16.1,5.3
Conwy 011F,W01001926,30.1,7.8,3
Carmarthenshire 023F,W01001925,26.7,13.2,3.9
Carmarthenshire 026H,W01001924,42.2,16.7,2.2
Carmarthenshire 026G,W01001923,38.5,13,1.4
Cardiff 032E,W01001922,29,1.8,0.5
Bridgend 017H,W01001921,18.2,6.8,0.6
Bridgend 017G,W01001920,14.4,6.1,1.6
Bridgend 017F,W01001919,16.9,3.6,0.8
Bridgend 017E,W01001918,11.4,4.1,0.8
Rhondda Cynon Taf 023G,W01001917,25.7,14.7,2.6
Rhondda Cynon Taf 027G,W01001916,15.5,4.3,0.9
Rhondda Cynon Taf 027F,W01001915,17.9,5.5,0.5
Rhondda Cynon Taf 023F,W01001914,9.5,9.3,0.8
Newport 020F,W01001913,25.8,2.9,0.8
Newport 020E,W01001912,27.6,9.1,3
The Vale of Glamorgan 012H,W01001911,30.3,10.8,1.8
The Vale of Glamorgan 012G,W01001910,36.4,8.5,1.1
Monmouthshire 002F,W01001909,31.5,13,2.6
Monmouthshire 010G,W01001908,28.4,13.5,4.4
Powys 001G,W01001907,25.2,6.6,3.8
Powys 001F,W01001906,29.5,7.2,3
Powys 018H,W01001905,25.3,9.2,3.3
Powys 018G,W01001904,25.4,9.2,4.1
Powys 018F,W01001903,33.8,10.7,4.1
Powys 017G,W01001902,25.4,10.6,2.3
Powys 017F,W01001901,35.1,10.1,3.8
Neath Port Talbot 020G,W01001900,31.1,17.7,3
Powys 021F,W01001899,32.6,19.5,3.4
Merthyr Tydfil 008F,W01001898,25.3,15.2,2.5
Powys 020D,W01001897,30.8,10.1,4
Cardiff 020E,W01001896,26.4,6.4,3.2
Cardiff 010D,W01001895,55.1,20.1,2.4
Cardiff 010C,W01001894,26.4,7.5,3.1
Cardiff 010B,W01001893,30.5,8.3,2.6
Cardiff 020D,W01001892,27.4,9.8,4.3
Cardiff 020C,W01001891,37.3,12.2,3.7
Cardiff 021D,W01001890,28.1,8.3,2.4
Cardiff 020B,W01001889,39.8,13.6,4.3
Cardiff 010A,W01001888,26.8,6.6,1.7
Cardiff 020A,W01001887,24.5,6,2.7
Cardiff 016D,W01001886,33.7,14.3,2.6
Cardiff 011D,W01001885,26.7,8.2,1.1
Cardiff 013D,W01001884,22.2,10.9,0.4
Cardiff 016C,W01001883,36.4,15.3,2.3
Cardiff 011C,W01001882,23.4,6.9,1.6
Cardiff 013C,W01001881,35.5,14.9,2
Cardiff 013B,W01001880,22.7,10.2,1
Cardiff 013A,W01001879,34.3,15.1,1.7
Cardiff 011B,W01001878,29.4,11.9,1.1
Cardiff 011A,W01001877,25.8,8.5,1.6
Cardiff 037D,W01001876,36,15.1,1.2
Cardiff 037C,W01001875,32.8,7.1,0.6
Cardiff 038D,W01001874,50.3,14.1,0.7
Cardiff 038C,W01001873,39.8,10.5,1.2
Cardiff 038B,W01001872,36.6,11.7,1.6
Cardiff 037B,W01001871,34.3,15.1,1.5
Cardiff 037A,W01001870,29,9.1,1.7
Cardiff 038A,W01001869,35.8,14.6,2.1
Cardiff 022D,W01001868,29.1,14.1,2.3
Cardiff 016B,W01001867,26.2,15,2
Cardiff 016A,W01001866,36.1,20.2,2.8
Cardiff 022C,W01001865,22.9,11.4,2.3
Cardiff 022B,W01001864,25.7,11.6,3.1
Cardiff 022A,W01001863,27.3,12.2,2.3
Cardiff 042D,W01001862,43.4,8.3,0.8
Cardiff 034D,W01001861,38.8,8.1,0.6
Cardiff 034C,W01001860,37,6.2,1.6
Cardiff 034B,W01001859,46,7.3,0.8
Cardiff 034A,W01001858,47.4,7.3,1.6
Cardiff 042C,W01001857,46.1,15,1.7
Cardiff 042B,W01001856,48.8,11.3,0.7
Cardiff 042A,W01001855,33.4,9.3,1.1
Cardiff 004D,W01001854,42.9,14.4,6.6
Cardiff 004C,W01001853,34.3,11.5,5.8
Cardiff 004B,W01001852,23.4,7,3.9
Cardiff 012D,W01001851,38.9,10.7,4
Cardiff 012C,W01001850,23.8,7.6,5.4
Cardiff 004A,W01001849,24.9,8.4,4.9
Cardiff 012B,W01001848,25.9,9.3,4.2
Cardiff 006D,W01001847,18.5,6.9,3.2
Cardiff 006C,W01001846,18.1,4.9,1.4
Cardiff 003D,W01001844,25.3,6,1.4
Cardiff 003C,W01001843,17.9,3.8,0.6
Cardiff 003B,W01001842,23.7,2.9,0.8
Cardiff 003A,W01001841,18,6.3,1.3
Cardiff 007D,W01001840,29,8.6,2.2
Cardiff 030E,W01001839,29.4,4.7,1
Cardiff 030D,W01001838,25.6,4.8,0.8
Cardiff 030C,W01001837,36.7,6.2,0.5
Cardiff 030B,W01001836,30.5,3.5,0.6
Cardiff 033F,W01001835,63.9,16.1,1
Cardiff 033E,W01001834,34.7,8.6,1.2
Cardiff 033D,W01001833,39.1,8.8,1.1
Cardiff 033C,W01001832,37.5,3,0.2
Cardiff 030A,W01001831,28.9,4.9,0.4
Cardiff 033B,W01001830,51.9,6.8,0.4
Cardiff 033A,W01001829,30.3,4.9,0.7
Cardiff 024D,W01001828,24,10,4.4
Cardiff 024C,W01001827,21.6,7.3,4.7
Cardiff 024B,W01001826,23.7,8.2,4.3
Cardiff 029D,W01001825,35.4,7.7,1.7
Cardiff 029C,W01001824,42.3,6.8,1.2
Cardiff 029B,W01001823,26.7,4.9,1.6
Cardiff 029A,W01001822,33.3,9,3.2
Cardiff 024A,W01001821,42.7,9.2,1.5
Cardiff 006A,W01001820,28.9,6.1,2.3
Cardiff 014D,W01001819,20.2,7.1,3.3
Cardiff 009D,W01001818,29.8,5.8,0.9
Cardiff 009C,W01001817,24.6,10.2,2.1
Cardiff 009B,W01001816,30,9.4,0.7
Cardiff 008D,W01001815,18.4,7.3,1.6
Cardiff 017E,W01001814,38.7,9.1,3.2
Cardiff 017D,W01001813,42.8,12.8,1.6
Cardiff 017C,W01001812,20.2,10.3,2.8
Cardiff 009A,W01001811,22.2,10.6,1.2
Cardiff 017B,W01001810,26,10.9,2
Cardiff 017A,W01001809,29.6,9.5,2.4
Cardiff 007C,W01001808,27.4,12.8,1.4
Cardiff 007B,W01001807,26.2,14.1,2.2
Cardiff 015D,W01001806,40.3,12.9,4.4
Cardiff 015C,W01001805,36.1,11.9,1.5
Cardiff 015B,W01001804,30.2,13.3,2.7
Cardiff 015A,W01001803,39.3,19.1,2.9
Cardiff 007A,W01001802,31.1,15.5,3.4
Cardiff 005D,W01001800,35.3,15.7,2
Cardiff 001D,W01001799,31.7,12.3,3.8
Cardiff 002D,W01001798,30.1,8,3.1
Cardiff 005C,W01001797,27.3,8.6,2.6
Cardiff 002C,W01001796,28.5,7.1,1.7
Cardiff 002B,W01001795,27.8,3.9,1.8
Cardiff 001C,W01001794,29.7,5.5,1.3
Cardiff 002A,W01001793,22,4.7,1
Cardiff 005B,W01001792,36,13.9,1.5
Cardiff 005A,W01001791,35,10.6,3.9
Cardiff 023F,W01001790,30.4,12.8,1.6
Cardiff 023E,W01001789,37,9.6,1.8
Cardiff 023D,W01001788,38.8,16,2.7
Cardiff 023C,W01001787,22.8,12.9,2.5
Cardiff 023B,W01001786,25,10.7,2.2
Cardiff 023A,W01001785,30.3,16.1,2.7
Cardiff 026F,W01001784,32.8,8.5,2.4
Cardiff 026E,W01001783,25.4,5.5,1.8
Cardiff 026D,W01001782,26.7,6.4,3.8
Cardiff 026C,W01001781,44.9,8,2.5
Cardiff 026B,W01001780,31.2,5.7,2
Cardiff 026A,W01001779,34,7.5,4.1
Cardiff 001B,W01001778,14,4.2,3.7
Cardiff 001A,W01001777,23.8,6.4,3.9
Cardiff 021C,W01001776,22.5,6.4,2.2
Cardiff 021B,W01001775,32.6,8.4,2.4
Cardiff 018D,W01001774,20.9,6.4,3
Cardiff 012A,W01001773,26.5,6.7,1.9
Cardiff 021A,W01001772,26,10.8,4.7
Cardiff 018C,W01001771,24.9,6.7,3.2
Cardiff 018B,W01001770,40.5,10.5,4.1
Cardiff 018A,W01001769,21.1,6.4,2.9
Cardiff 044E,W01001768,28.9,8.2,1
Cardiff 044D,W01001767,32.4,8.7,0.9
Cardiff 044C,W01001766,35.8,10,1
Cardiff 044B,W01001765,33,11.2,1.5
Cardiff 044A,W01001764,29.7,8.8,0.9
Cardiff 046D,W01001762,41.2,12.6,1.4
Cardiff 046C,W01001761,39.2,12.2,2
Cardiff 046B,W01001760,30.7,11.4,2.6
Cardiff 046A,W01001759,31.5,8.6,1.5
Cardiff 025D,W01001758,24.5,4.1,1.5
Cardiff 025C,W01001757,29.4,5,0.9
Cardiff 025B,W01001756,29.5,4.3,1
Cardiff 025A,W01001755,23.1,3.6,0.8
Cardiff 031D,W01001754,42.2,13.7,3.1
Cardiff 031C,W01001753,26.9,12.4,1.8
Cardiff 031B,W01001752,24.8,10.5,3.3
Cardiff 027D,W01001751,43,13.8,1.7
Cardiff 031A,W01001750,51.4,19.3,2.9
Cardiff 027C,W01001749,38.6,12.8,2.3
Cardiff 027B,W01001748,32.6,13.3,2.2
Cardiff 027A,W01001747,41.4,9.5,2.8
Cardiff 041D,W01001746,32.7,15.4,1.8
Cardiff 043D,W01001745,27,8.6,3
Cardiff 043C,W01001744,38.9,15.2,2
Cardiff 043B,W01001743,26.1,9.8,4.3
Cardiff 043A,W01001742,30,13.5,1.5
Cardiff 039E,W01001741,22.2,13.3,0.9
Cardiff 039D,W01001740,36.5,16,1.8
Cardiff 039C,W01001739,22.8,14.3,1.7
Cardiff 039B,W01001738,21.7,11.8,1.8
Cardiff 039A,W01001737,34.5,15.9,1.2
Cardiff 008C,W01001736,28.1,8.5,4.2
Cardiff 019D,W01001735,25.5,9.9,3.4
Cardiff 019C,W01001734,23.5,6.9,5
Cardiff 019B,W01001733,35,5.1,2.2
Cardiff 019A,W01001732,28,6.6,2.9
Cardiff 008B,W01001731,19.1,6.8,3.5
Cardiff 008A,W01001730,29.8,7,5
Cardiff 014C,W01001729,17.5,8.1,1.6
Cardiff 014B,W01001728,18.9,3.9,3
Cardiff 014A,W01001727,24.2,9,2.3
Cardiff 028E,W01001726,22.3,5.6,0.5
Cardiff 032D,W01001725,25.5,2.1,0.5
